signalname,is_mean_ew,pp_mean_ew,is_n_ew,pp_n_ew,is_mean_vw,pp_mean_vw,is_n_vw,pp_n_vw,Acronym,Predictability in OP,Year,decay_ew,decay_vw,decay_diff_vw_minus_ew,levels_did
IntanCFP,0.4820669676222688,0.2896117196439648,432.0,216.0,0.448567877069792,-0.6670253593801747,432.0,216.0,IntanCFP,1_clear,2006,0.39922927913431594,2.4870109820110753,2.087781702876759,-0.9231379884716628
IntanEP,0.35347815145041284,0.3309427671778245,432.0,216.0,0.23941226961778456,-0.44239124157238857,432.0,216.0,IntanEP,1_clear,2006,0.06375325937436242,2.847821927751049,2.7840686683766864,-0.6592681269175849
InvGrowth,0.8608265839187778,0.44558078624198605,540.0,144.0,0.5970448746999073,-0.07576316309751768,540.0,144.0,InvGrowth,1_clear,2012,0.4823803137984546,1.1268969323882039,0.6445166185897493,-0.25756224012063333
InvestPPEInv,1.4187693357201043,0.62659800215568,432.0,192.0,0.7768297834403404,0.11193799424487678,432.0,192.0,InvestPPEInv,1_clear,2008,0.5583510396088124,0.855904090405574,0.29755305079676164,0.12727954436896083
Investment,0.34968257591421065,0.20656393819265312,288.0,240.0,0.34968257591421065,0.20656393819265312,288.0,240.0,Investment,1_clear,2004,0.40928158158120387,0.40928158158120387,0.0,0.0
LRreversal,1.0920602613551715,0.5204507999329127,648.0,468.0,0.3679190898236577,0.20008212981235687,648.0,468.0,LRreversal,1_clear,1985,0.5234230029695714,0.45617899329916384,-0.06724400967040761,0.4037725014109581
Leverage,0.4873188964762887,0.4808082227306329,360.0,432.0,0.3522077080420336,0.04575134552771001,360.0,432.0,Leverage,1_clear,1988,0.013360191432618844,0.8701012371874329,0.8567410457548141,-0.29994568876866784
MRreversal,0.4712986742493556,0.40924257979978723,576.0,468.0,0.3539417664542204,0.3681490598428518,576.0,468.0,MRreversal,2_likely,1985,0.13167042013942867,-0.04014020026785683,-0.1718106204072855,0.0762633878381998
MaxRet,0.8861230012349923,0.19944457987192324,528.0,156.0,0.8861230012349923,0.19944457987192324,528.0,156.0,MaxRet,1_clear,2011,0.7749244973960085,0.7749244973960085,0.0,0.0
MeanRankRevGrowth,0.662630243440091,0.14819196095372458,276.0,360.0,0.6219703264724803,-0.11448828311410375,276.0,360.0,MeanRankRevGrowth,1_clear,1994,0.7763579878509986,1.1840735453786466,0.407715557527648,-0.22202032710021757
Mom12m,1.3406960070664518,0.8531742264188287,312.0,372.0,2.2109248776134924,1.2122233370735929,312.0,372.0,Mom12m,1_clear,1993,0.36363335019872184,0.45171210955747804,0.0880787593587562,-0.5111797598922765
Mom12mOffSeason,1.352855615923714,0.8800918325834889,456.0,192.0,1.3867917396863487,0.8439873726944992,456.0,192.0,Mom12mOffSeason,1_clear,2008,0.3494562004811042,0.3914101529870778,0.04195395250597361,-0.07004058365162447
Mom6m,1.0166762570459411,1.039263360052881,312.0,372.0,1.530028089012763,1.3701922978010854,312.0,372.0,Mom6m,1_clear,1993,-0.022216613056912495,0.10446591952100062,0.12668253257791312,-0.18242289421861746
Mom6mJunk,2.0904243449440734,0.4533777237509893,228.0,204.0,1.5067494084331234,1.077959262564673,228.0,204.0,Mom6mJunk,1_clear,2007,0.7831168944967876,0.284579601271821,-0.49853729322496654,1.2082564753246336
MomOffSeason,1.2327521969055506,0.41561520222531456,456.0,192.0,0.8325455778982674,0.30841733033138624,456.0,192.0,MomOffSeason,1_clear,2008,0.6628558413697496,0.6295490138690362,-0.033306827500713454,0.2930087471133549
MomOffSeason06YrPlus,0.6049775397366829,0.5309497336969622,456.0,192.0,0.5074949018895812,0.5103906164263722,456.0,192.0,MomOffSeason06YrPlus,1_clear,2008,0.12236455269387585,-0.005705898770626423,-0.12807045146450227,0.07692352057651164
MomOffSeason11YrPlus,0.17540003840084434,0.043224415201039736,456.0,192.0,0.29558520339222843,-0.08804486758939555,456.0,192.0,MomOffSeason11YrPlus,2_likely,2008,0.7535666719624181,1.2978662889040624,0.5442996169416443,-0.25145444778181936
MomOffSeason16YrPlus,0.34956825408201264,0.22082803185815117,456.0,192.0,0.30372248596359525,-0.06145272366326435,456.0,192.0,MomOffSeason16YrPlus,1_clear,2008,0.36828350606933996,1.2023318209986933,0.8340483149293534,-0.2364349874029981
MomSeason,0.8125412991394375,-0.06357680263619597,456.0,192.0,0.9282732582916638,-0.6333655811759478,456.0,192.0,MomSeason,1_clear,2008,1.078244395335388,1.6823051030701395,0.6040607077347515,-0.6855207376919783
MomSeason06YrPlus,0.7463792467631403,0.079715769569641,456.0,192.0,0.8727373348802258,0.24366660965125123,456.0,192.0,MomSeason06YrPlus,1_clear,2008,0.8931966960290653,0.720801895469853,-0.1723948005592123,0.03759275196452472
MomSeason11YrPlus,0.7490963309555085,0.1611407314089829,456.0,192.0,0.7566736162998434,-0.003486160713026714,456.0,192.0,MomSeason11YrPlus,1_clear,2008,0.784886502910193,1.0046072185390502,0.2197207156288572,-0.17220417746634453
MomSeason16YrPlus,0.5855347847426619,0.45720422243607334,456.0,192.0,0.41638516318192087,0.7325883480357646,456.0,192.0,MomSeason16YrPlus,1_clear,2008,0.219168127411916,-0.7594007011140617,-0.9785688285259777,0.4445337471604322
MomSeasonShort,1.3607244373766851,0.12004061941000742,456.0,192.0,0.9794092540720798,-0.16577654545497844,456.0,192.0,MomSeasonShort,1_clear,2008,0.9117818302422558,1.1692617715890787,0.25747994134682295,0.09549801843961947
NOA,1.0838061346863117,0.01799705389406672,468.0,240.0,0.8407408865684505,0.2844186181411212,468.0,240.0,NOA,1_clear,2004,0.9833945820031036,0.6617047859989325,-0.32168979600417114,0.5094868123649157
NetDebtFinance,0.7185302878634665,0.36343320162586495,342.0,216.0,0.1777855298803281,-0.4142446937062003,342.0,216.0,NetDebtFinance,1_clear,2006,0.49419918997913737,3.3300248000219073,2.83582561004277,-0.2369331373489269
NetEquityFinance,0.7116735997307342,1.0197717461498654,342.0,216.0,0.4777883521543477,0.3753733316162304,342.0,216.0,NetEquityFinance,1_clear,2006,-0.4329205783883257,0.21435227559719272,0.6472728539855184,-0.41051316695724854
NetPayoutYield,0.8833968202277976,1.49354706742342,240.0,204.0,0.7542374475132542,0.7993978180602503,240.0,204.0,NetPayoutYield,1_clear,2007,-0.6906864879118373,-0.05987553481452215,0.6308109530973152,-0.5649898766486261
NumEarnIncrease,0.4541261291745103,0.3022395017160586,276.0,144.0,0.15938686573346716,0.014674163711648635,276.0,144.0,NumEarnIncrease,2_likely,2012,0.3344591242405369,0.9079336704180673,0.5734745461775304,0.007173925436633144
OPLeverage,0.3318269214178378,-0.2810967864337132,552.0,156.0,0.39797602828199785,0.06216816721116718,552.0,156.0,OPLeverage,1_clear,2011,1.8471186883590889,0.8437891661979298,-1.0033295221611591,0.2771158467807204
OperProf,0.8223827813112524,0.5523420001939624,324.0,216.0,0.48882948775510626,0.46004909817254136,324.0,216.0,OperProf,2_likely,2006,0.328363855924515,0.05887613227822152,-0.2694877236462935,0.24126039153472512
OperProfRD,0.3231087467644222,0.9756887727587079,618.0,96.0,0.3231087467644222,0.9756887727587079,618.0,96.0,OperProfRD,2_likely,2016,-2.0196916132081077,-2.0196916132081077,0.0,0.0
OptionVolume1,0.879964869305148,0.195408082744158,178.0,129.0,0.49401795043804275,-0.3332718886969603,178.0,129.0,OptionVolume1,1_clear,2012,0.777936495466621,1.6746149373751502,0.8966784419085292,-0.14273305257401303
OptionVolume2,0.5179006359140347,-0.08170247950090564,177.0,129.0,0.5196558022523794,0.07752221422022514,177.0,129.0,OptionVolume2,2_likely,2012,1.157757055765553,0.8508200738176782,-0.3069369819478748,0.15746952738278613
OrderBacklog,0.35993459539280315,-0.5312948772846953,228.0,252.0,0.4970397458614452,-0.12332491434344016,228.0,252.0,OrderBacklog,1_clear,2003,2.4760872783147825,1.2481188182037624,-1.2279684601110201,0.27086481247261307
OrgCap,0.5633968469980396,0.4056234573927422,468.0,132.0,0.5633968469980396,0.4056234573927422,468.0,132.0,OrgCap,1_clear,2013,0.28003953242898855,0.28003953242898855,0.0,0.0
PS,1.0480293709852773,0.5949707941048267,252.0,288.0,1.0480293709852773,0.5949707941048267,252.0,288.0,PS,1_clear,2000,0.43229568695629156,0.43229568695629156,0.0,0.0
PayoutYield,0.4326195010725782,0.20123207523050776,240.0,204.0,0.23846963127430476,0.6268154908375925,240.0,204.0,PayoutYield,1_clear,2007,0.5348520472803463,-1.6284918858979769,-2.1633439331783233,0.6197332854053581
PctTotAcc,0.49579007185719315,0.38814211127382864,240.0,156.0,0.1751502738982359,0.17229879869385883,240.0,156.0,PctTotAcc,1_clear,2011,0.21712407467161085,0.01628016411800646,-0.2008439105536044,0.10479648537898745
PredictedFE,0.5651547965228517,-0.07736551145471243,126.0,312.0,0.238585083446239,-0.18346184781050182,126.0,312.0,PredictedFE,2_likely,1998,1.1368926034614026,1.7689577452223317,0.6320651417609291,0.2204733767208233
Price,1.950740993625884,1.0301106609314266,480.0,612.0,1.136189836598773,-0.04780861434736719,480.0,612.0,Price,1_clear,1973,0.4719387841351825,1.0420780161970857,0.5701392320619032,-0.26336811825168294
RDAbility,0.28345383177227085,0.123751488191255,360.0,132.0,0.4305723512641438,-0.5971738727600476,360.0,132.0,RDAbility,1_clear,2013,0.5634157160003469,2.386930375363788,1.823514659363441,-0.8680438804431756
RDS,0.29708017125876673,-0.08259676008953071,336.0,156.0,0.2157200772318352,-0.14797758662485508,336.0,156.0,RDS,1_clear,2011,1.2780285191689424,1.68597039517014,0.40794187600119747,0.015979267491607163
RDcap,0.5515825773050566,-0.6302521943235292,330.0,156.0,0.5515825773050566,-0.6302521943235292,330.0,156.0,RDcap,1_clear,2011,2.1426252754444124,2.1426252754444124,0.0,0.0
REV6,1.4423982916563594,0.7983667544611049,192.0,336.0,0.6985571991833738,0.459194781547919,192.0,336.0,REV6,1_clear,1996,0.4465004852825284,0.34265256719889775,-0.10384791808363064,0.4046691195597996
RIVolSpread,1.394250929513628,-0.004642336327663326,107.0,157.0,1.394250929513628,-0.004642336327663326,107.0,157.0,RIVolSpread,1_clear,2009,1.0033296275651635,1.0033296275651635,0.0,0.0
RealizedVol,1.3420644601021532,0.33633396822137734,456.0,216.0,1.3420644601021532,0.33633396822137734,456.0,216.0,RealizedVol,1_clear,2006,0.7493906006602866,0.7493906006602866,0.0,0.0
ResidualMomentum,0.9503154714338249,0.3261864293680202,955.0,156.0,0.7250549743528563,-0.021295304987004514,955.0,156.0,ResidualMomentum,1_clear,2011,0.6567598453639043,1.0293706073887867,0.3726107620248824,-0.1222212372740561
SP,0.9005949682512208,1.142797627973513,156.0,336.0,0.6395290173909692,0.6835093548314757,156.0,336.0,SP,2_likely,1996,-0.26893627908292944,-0.06876988571985239,0.20016639336307707,-0.19822232228178582
STreversal,2.9679188578960907,1.6089490651773635,648.0,408.0,1.2325852326481077,-0.04504416971347839,648.0,408.0,STreversal,1_clear,1990,0.4578864375295215,1.0365444664761274,0.5786580289466059,0.08134039035714102
