period,date,method,turnover,candidate_count,w_Cnsmr,w_Manuf,w_HiTec,w_Hlth,w_Other
confirmation,2018-05-01,random,0.6654641365766644,64,0.06419697424332109,0.05831393633701532,0.062474372856803156,0.037949108909175334,0.7770656076536849
confirmation,2018-05-01,min_variance,0.11550608083382922,1,0.4617109152770116,0.501658306189184,0.0,0.03663077853380467,4.498333613241292e-17
confirmation,2018-05-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-06-01,localized,0.0,64,9.125883221115163e-07,1.3400978507196406e-07,0.9663477798654302,0.00031184051218154026,0.03333933302428109
confirmation,2018-06-01,all_gene,0.1386148855085279,64,0.11830211357723752,0.4692396451409852,0.0008665466670628653,0.40890309632532695,0.0026885982893874168
confirmation,2018-06-01,random,0.0,64,0.06419697424332109,0.05831393633701532,0.062474372856803156,0.037949108909175334,0.7770656076536849
confirmation,2018-06-01,min_variance,0.010300070521977853,1,0.47201098579898937,0.49689055918466946,0.0,0.031098455016341287,0.0
confirmation,2018-06-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-07-02,localized,0.00030538694502886646,64,0.00030629953335097797,1.3400978507196406e-07,0.9663477798654302,6.4535671526737975e-06,0.03333933302428109
confirmation,2018-07-02,all_gene,0.16300232182185406,64,0.1531188441506332,0.5970605575535181,0.000892304348440093,0.24590077450347292,0.003027519443935746
confirmation,2018-07-02,random,0.7992099508154079,64,0.08021283256170013,0.03565525847005483,0.845668465353832,0.03625349177709748,0.00220995183731547
confirmation,2018-07-02,min_variance,0.022564368863648834,1,0.4896826708533581,0.5017832429939495,2.2740004726834888e-18,0.008534086152692386,0.0
confirmation,2018-07-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-08-01,localized,3.154820005593379e-06,64,0.00030945435335657135,1.3400978507196406e-07,0.9663477798654302,3.2987471470804185e-06,0.03333933302428109
confirmation,2018-08-01,all_gene,0.09485338939033673,64,0.23090179567331767,0.5022071681631813,0.0023162597354317027,0.2580845266817053,0.006490249746364043
confirmation,2018-08-01,random,0.0,64,0.08021283256170013,0.03565525847005483,0.845668465353832,0.03625349177709748,0.00220995183731547
confirmation,2018-08-01,min_variance,0.05990006578465615,1,0.5495827366380144,0.4504172633619859,2.348904696526449e-17,0.0,0.0
confirmation,2018-08-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-09-04,localized,0.0,64,0.00030945435335657135,1.3400978507196406e-07,0.9663477798654302,3.2987471470804185e-06,0.03333933302428109
confirmation,2018-09-04,all_gene,0.32136455195377245,64,0.55226634762709,0.21091901898814316,0.0015004369781830456,0.23020870105379843,0.005105495352785243
confirmation,2018-09-04,random,0.0,64,0.08021283256170013,0.03565525847005483,0.845668465353832,0.03625349177709748,0.00220995183731547
confirmation,2018-09-04,min_variance,0.03979841528050837,1,0.5824950580121162,0.4106188480814774,0.0,0.006886093906406347,5.3795380594095037e-17
confirmation,2018-09-04,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-10-01,localized,0.0,64,0.00030945435335657135,1.3400978507196406e-07,0.9663477798654302,3.2987471470804185e-06,0.03333933302428109
confirmation,2018-10-01,all_gene,0.17342110010864786,64,0.7256874477357379,0.07929686479060247,0.000907811538529614,0.19185667873926984,0.0022511971958600655
confirmation,2018-10-01,random,0.0,64,0.08021283256170013,0.03565525847005483,0.845668465353832,0.03625349177709748,0.00220995183731547
confirmation,2018-10-01,min_variance,0.007913787110326313,1,0.5752854076750926,0.4185326351918037,0.0,0.006181957133103622,5.164417605908839e-17
confirmation,2018-10-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-11-01,localized,0.0,64,0.00030945435335657135,1.3400978507196406e-07,0.9663477798654302,3.2987471470804185e-06,0.03333933302428109
confirmation,2018-11-01,all_gene,0.14993996417582922,64,0.8750616906345422,0.0261751752176503,0.00048641954364739097,0.09545979613127505,0.002816918472885019
confirmation,2018-11-01,random,0.7326050872074823,64,0.6201966854066324,0.0007033420274610764,0.14801529458894352,0.08628076079395991,0.14480391718300312
confirmation,2018-11-01,min_variance,0.04233753323165854,1,0.5391298315765378,0.4608701684234623,3.9787543540248085e-17,0.0,0.0
confirmation,2018-11-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2018-12-03,localized,0.9139160941486043,64,0.9142255485019609,1.3400978507196406e-07,0.05243168571682588,3.2987471470804185e-06,0.03333933302428109
confirmation,2018-12-03,all_gene,0.1317707729159436,64,0.7432909177185987,0.03268241060079208,0.0006544386806211677,0.21952083552471602,0.003851397475272184
confirmation,2018-12-03,random,0.7888571479734039,64,0.02872880980314405,0.03914865197188641,0.04045928757797713,0.8366925988229384,0.054970651824054015
confirmation,2018-12-03,min_variance,0.024485977988811657,1,0.5146438535877262,0.48535614641227376,0.0,1.5730564112111885e-16,5.899711187336463e-17
confirmation,2018-12-03,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-01-02,localized,0.8775535838687938,64,0.03667196463316713,1.3400978507196406e-07,0.9299852695856197,3.2987471470804185e-06,0.03333933302428109
confirmation,2019-01-02,all_gene,0.27468339512058204,64,0.46875328424647356,0.0695375228235181,0.0005086770321641258,0.45516946678057957,0.006031049117264483
