period,date,method,net_return
confirmation,2015-02-17,min_variance,-0.00041141852660543307
confirmation,2015-02-18,min_variance,0.002282405992237038
confirmation,2015-02-19,min_variance,-0.002188581473394567
confirmation,2015-02-20,min_variance,0.005792280648553089
confirmation,2015-02-23,min_variance,0.00020987465631605102
confirmation,2015-02-24,min_variance,0.003370987465631605
confirmation,2015-02-25,min_variance,0.0013228370532108664
confirmation,2015-02-26,min_variance,-0.0017879700388148084
confirmation,2015-02-27,min_variance,8.919290797432516e-05
confirmation,2015-02-02,equal_weight,0.011720000000000001
confirmation,2015-02-03,equal_weight,0.014060000000000001
confirmation,2015-02-04,equal_weight,-0.0048
confirmation,2015-02-05,equal_weight,0.011600000000000001
confirmation,2015-02-06,equal_weight,-0.0029000000000000002
confirmation,2015-02-09,equal_weight,-0.00532
confirmation,2015-02-10,equal_weight,0.010900000000000002
confirmation,2015-02-11,equal_weight,0.00020000000000000006
confirmation,2015-02-12,equal_weight,0.0091
confirmation,2015-02-13,equal_weight,0.00472
confirmation,2015-02-17,equal_weight,0.00222
confirmation,2015-02-18,equal_weight,0.0007400000000000001
confirmation,2015-02-19,equal_weight,-0.00024000000000000003
confirmation,2015-02-20,equal_weight,0.0063999999999999994
confirmation,2015-02-23,equal_weight,-0.00042
confirmation,2015-02-24,equal_weight,0.00266
confirmation,2015-02-25,equal_weight,0.0006599999999999999
confirmation,2015-02-26,equal_weight,-0.0005999999999999996
confirmation,2015-02-27,equal_weight,-0.0037
confirmation,2015-03-02,localized,0.006828435105449742
confirmation,2015-03-03,localized,-0.005293012681454372
confirmation,2015-03-04,localized,-0.0037074508394235885
confirmation,2015-03-05,localized,0.0025698020512677933
confirmation,2015-03-06,localized,-0.014812812479115678
confirmation,2015-03-09,localized,0.004544731457299555
confirmation,2015-03-10,localized,-0.01373561361468779
confirmation,2015-03-11,localized,-0.0029406290526939214
confirmation,2015-03-12,localized,0.013746125464078092
confirmation,2015-03-13,localized,-0.005129083881701461
confirmation,2015-03-16,localized,0.013231180444857295
confirmation,2015-03-17,localized,-0.0027635920992093925
