period,method,month,month_return,month_variance,certainty_equivalent
confirmation,equal_weight,2016-04,0.014993092640010364,4.534446476190476e-05,0.014925075942867506
confirmation,equal_weight,2016-05,0.01707273576844237,5.252298285714286e-05,0.016993951294156658
confirmation,equal_weight,2016-06,0.0010025944190228397,0.00014522003549783551,0.0007847643657760865
confirmation,equal_weight,2016-07,0.04010569625687688,2.3145746315789475e-05,0.04007097763740319
confirmation,equal_weight,2016-08,0.0003555391280014586,1.4960338339920948e-05,0.00033309862049157716
confirmation,equal_weight,2016-09,0.0024754291484498925,8.827704000000001e-05,0.0023430135884498927
confirmation,equal_weight,2016-10,-0.02665151215974415,1.951478476190477e-05,-0.026680784336887007
confirmation,equal_weight,2016-11,0.045138745060407715,5.481794476190477e-05,0.045056518143264855
confirmation,equal_weight,2016-12,0.0166498368895045,2.4072756190476192e-05,0.016613727755218785
confirmation,equal_weight,2017-01,0.018839952123369974,1.9677864210526317e-05,0.018810435327054186
confirmation,equal_weight,2017-02,0.03947738338203344,1.1407815204678365e-05,0.03946027165922642
confirmation,equal_weight,2017-03,0.001846090438701431,2.8701288537549426e-05,0.001803038505895107
confirmation,equal_weight,2017-04,0.010969601860596256,2.30675485380117e-05,0.010935000537789239
confirmation,equal_weight,2017-05,0.00937537154987833,2.3288035497835494e-05,0.009340439496631577
confirmation,equal_weight,2017-06,0.013457624354026754,2.364455151515152e-05,0.013422157526754026
confirmation,equal_weight,2017-07,0.01671899701998414,1.3921456842105259e-05,0.01669811483472098
confirmation,equal_weight,2017-08,0.0033889203724748462,3.5919416600790526e-05,0.0033350412475736603
confirmation,equal_weight,2017-09,0.02645947355079903,1.133075368421053e-05,0.02644247742027271
confirmation,equal_weight,2017-10,0.016743279451108428,1.0392876190476193e-05,0.016727690136822713
confirmation,equal_weight,2017-11,0.0336377440448592,1.7020956190476193e-05,0.03361221261057348
confirmation,equal_weight,2017-12,0.010920469795484777,1.431277894736842e-05,0.010899000627063725
confirmation,equal_weight,2018-01,0.05608631862651037,3.3936316190476195e-05,0.056035414152224655
confirmation,equal_weight,2018-02,-0.038378332635761736,0.0002735551134502924,-0.03878866530593717
confirmation,equal_weight,2018-03,-0.020604388194585765,0.00014874348000000002,-0.020827503414585766
confirmation,equal_weight,2018-04,0.005012453633293612,0.00011942591619047624,0.004833314759007897
confirmation,equal_weight,2018-05,0.024720785293120162,3.877858008658009e-05,0.024662617422990293
confirmation,equal_weight,2018-06,0.008677095217082265,2.9783365714285718e-05,0.008632420168510836
confirmation,equal_weight,2018-07,0.03661252327183395,2.9134139047619047e-05,0.03656882206326252
confirmation,equal_weight,2018-08,0.03437370579645571,1.9920581818181824e-05,0.034343824923728436
confirmation,equal_weight,2018-09,0.0052802634071269505,1.2557478362573101e-05,0.0052614271895830905
confirmation,equal_weight,2018-10,-0.0753653259378183,0.0001919305754940712,-0.0756532218010594
confirmation,equal_weight,2018-11,0.025990811930898916,0.0001427833047619048,0.02577663697375606
confirmation,equal_weight,2018-12,-0.09223940197961433,0.0003547454245614036,-0.09277152011645644
confirmation,equal_weight,2019-01,0.08197953307784722,0.00013461465142857143,0.08177761110070436
confirmation,equal_weight,2019-02,0.034029792759941335,2.752122573099416e-05,0.03398851092134485
confirmation,equal_weight,2019-03,0.011966490965940713,6.190570476190477e-05,0.011873632408797855
confirmation,equal_weight,2019-04,0.03138575680256528,1.9441076190476195e-05,0.03135659518827957
confirmation,equal_weight,2019-05,-0.06400480207621073,8.198755411255413e-05,-0.06412778340737957
confirmation,equal_weight,2019-06,0.07046201370362937,4.383416736842106e-05,0.07039626245257674
confirmation,equal_weight,2019-07,0.00753191490094185,2.6177005194805198e-05,0.007492649393149642
confirmation,equal_weight,2019-08,-0.02056194748128337,0.00020107243982683985,-0.020863556141023632
confirmation,equal_weight,2019-09,0.014744489051796705,3.140982210526316e-05,0.01469737431863881
confirmation,equal_weight,2019-10,0.022041668822278204,6.593607272727274e-05,0.021942764713187294
confirmation,equal_weight,2019-11,0.038365908747578725,1.4401072631578948e-05,0.03834430713863136
confirmation,equal_weight,2019-12,0.029121804840336107,2.1473956190476193e-05,0.029089593906050395
confirmation,equal_weight,2020-01,-0.005696804731300076,4.5042424761904774e-05,-0.005764368368442933
confirmation,equal_weight,2020-02,-0.07956588382961316,0.00022399440233918132,-0.07990187543312194
confirmation,equal_weight,2020-03,-0.12759685828713296,0.003280639235497836,-0.13251781714037972
confirmation,equal_weight,2020-04,0.1365546182415136,0.0006607738057142858,0.1355634575329422
confirmation,equal_weight,2020-05,0.05064455446481153,0.0002268061673684211,0.0503043452137589
confirmation,equal_weight,2020-06,0.016196481120064554,0.00034615453246753257,0.015677249321363256
confirmation,equal_weight,2020-07,0.05552560657731864,7.010565887445889e-05,0.05542044808900695
confirmation,equal_weight,2020-08,0.06468149883592056,2.113049904761905e-05,0.06464980308734913
confirmation,equal_weight,2020-09,-0.031213284423541432,0.00021733771619047618,-0.031539290997827145
confirmation,equal_weight,2020-10,-0.02156583388981259,0.0001544977004329005,-0.02179758044046194
confirmation,equal_weight,2020-11,0.1233109800208112,9.314226842105265e-05,0.12317126661817962
confirmation,equal_weight,2020-12,0.04412926345102597,2.6206906493506496e-05,0.04408995309128571
confirmation,equal_weight,2021-01,0.0013854600718981036,0.00010997665964912283,0.0012204950824244193
confirmation,equal_weight,2021-02,0.027326668113355268,8.423471111111114e-05,0.0272003160466886
confirmation,equal_weight,2021-03,0.037689474327720074,0.00012517221343873522,0.03750171600756197
confirmation,equal_weight,2021-04,0.04616826153296727,3.9802824761904764e-05,0.046108557295824415
confirmation,equal_weight,2021-05,0.005171584468833146,7.360649578947368e-05,0.005061174725148936
confirmation,equal_weight,2021-06,0.0217255870123767,2.82688658008658e-05,0.0216831837136754
confirmation,equal_weight,2021-07,0.011070248605214106,5.487786476190477e-05,0.010987931808071248
confirmation,equal_weight,2021-08,0.02481972498714846,2.951461818181819e-05,0.024775453059875736
confirmation,equal_weight,2021-09,-0.04150963240373029,6.304853333333332e-05,-0.04160420520373029
confirmation,equal_weight,2021-10,0.06145490297508638,4.5519485714285716e-05,0.06138662374651495
confirmation,equal_weight,2021-11,-0.0207453981929816,5.882514476190477e-05,-0.020833635910124458
confirmation,equal_weight,2021-12,0.041889888618399596,0.00010563437316017318,0.04173143705865934
confirmation,equal_weight,2022-01,-0.05655118655882596,0.0001315311410526316,-0.05674848327040491
confirmation,equal_weight,2022-02,-0.016238282717612407,0.00018048655906432749,-0.0165090125562089
confirmation,equal_weight,2022-03,0.036786612604461144,0.0001897292110671937,0.03650201878786035
confirmation,equal_weight,2022-04,-0.08176462757603598,0.00021296699368421058,-0.08208407806656229
confirmation,equal_weight,2022-05,0.001738885860433248,0.00036967028,0.001184380440433248
confirmation,equal_weight,2022-06,-0.07638133562123539,0.0003307653561904762,-0.0768774836555211
confirmation,equal_weight,2022-07,0.08948869894664435,0.00013428281684210524,0.08928727472138119
confirmation,equal_weight,2022-08,-0.03359557372520794,0.00013648216284584984,-0.033800296969476715
confirmation,equal_weight,2022-09,-0.08084985730584249,0.00022632291619047623,-0.0811893416801282
confirmation,equal_weight,2022-10,0.08613266741581826,0.0002785354457142858,0.08571486424724684
confirmation,equal_weight,2022-11,0.050024270216063815,0.0002686519333333333,0.04962129231606382
confirmation,equal_weight,2022-12,-0.05439397873343266,0.00011922157142857146,-0.05457281109057551
