signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
BrandInvest,0.5757106718677907,-0.42996135677780817,432,2014,-0.7468358288076807,-0.2808531282834457,1.2538078315046797,0.6240989275841192
CBOperProf,0.4815079188202243,0.5679045131635518,624,2016,1.1794292284019208,-0.488270370624819,1.5019448714218746,1.276272828438944
CF,0.8275561872491719,0.3850356806983065,276,1994,0.46526832453295974,0.27366466027918374,-1.227562567667271,-0.17048997901671714
CPVolSpread,0.9769581411100443,0.46289770915964407,107,2009,0.4738152943110624,0.6026204526283523,0.633465231711692,-1.8510450608745672
Cash,0.7153460915989154,-0.12558129075447577,456,2012,-0.17555319338333292,0.026598541193620547,1.0056707915874845,0.7199892034371634
CashProd,0.5200294720230376,0.2025033662409335,492,2009,0.38940748002829056,-0.40345295205107967,0.633465231711692,0.8547531030767108
ChAssetTurnover,0.2908748614399139,0.04546226529441378,228,2008,0.15629492720464924,-0.9080095160504659,0.5093967117530944,-0.5093337169769787
ChEQ,0.5624440041578984,0.4058739493126214,528,2010,0.721625524162718,-0.3100639054892429,0.7575337516702895,0.9799960477134763
ChForecastAccrual,0.3705687344260628,0.10201003912306725,192,2004,0.27527967053416014,-0.7325381754417245,0.013122631918704325,-0.8141166918544642
ChInv,0.7903739373762794,0.25000421999325817,336,2002,0.31631131565796655,0.1917961428188813,-0.23501440799849072,0.17838321874012156
ChInvIA,0.5016842759737974,0.17880137563571052,180,1998,0.3564021919735216,-0.4438457203263755,-0.7312884878328808,-0.9285782167790214
ChNAnalyst,0.5683466100970784,0.10962672072379638,284,2008,0.19288708470535473,-0.2970674461828537,0.5093967117530944,-0.11981401488651187
ChNNCOA,0.3554672226521279,-0.08816808406649157,228,2008,-0.2480343571727169,-0.7657889438747207,0.5093967117530944,-0.5093337169769787
ChNWC,0.15318585875503077,0.0723760857217517,228,2008,0.47247236990388847,-1.2111755309886056,0.5093967117530944,-0.5093337169769787
ChTax,1.0547898262472477,0.4255135064152096,360,2011,0.40341070403485974,0.7739915959938681,0.881602271628887,0.30074470363512074
ChangeInRecommendation,1.0485869264973169,0.25575891704485304,61,2004,0.24390816877641805,0.7603339446086586,0.013122631918704325,-2.8476936004507487
CitationsRD,0.206374627340535,0.06193654272210553,324,2013,0.30011704210084494,-1.094063585247825,1.129739311546082,0.1138838168892673
CompEquIss,0.23546497593807025,0.342795347978841,432,2006,1.4558230862707995,-1.0300119552301408,0.2612596718358994,0.6240989275841192
CompositeDebtIssuance,0.31559427318713346,0.22134147259297987,432,2008,0.7013481910102157,-0.8535818899881967,0.5093967117530944,0.6240989275841192
ConsRecomm,0.5164989966932828,0.10946106275121707,50,2001,0.21192889715566923,-0.41122641337107146,-0.35908292795708824,-3.200363170861453
ConvDebt,0.38190667419086083,0.2978915773937159,336,2016,0.7800114465788107,-0.707574104607621,1.5019448714218746,0.17838321874012156
CoskewACX,0.2975683652719586,0.2825253799314751,468,2006,0.9494469604430726,-0.8932716441568165,0.2612596718358994,0.7660577177440937
Coskewness,0.2858351161888769,0.26791392585343615,360,2000,0.9373023490801647,-0.9191061138488901,-0.48315144791568576,0.30074470363512074
CredRatDG,0.4845504030594755,0.25100648017134186,156,2001,0.518019340375066,-0.48157137648338527,-0.35908292795708824,-1.1823730123893401
CustomerMomentum,1.092214803174748,0.39362188375510293,300,2008,0.36038870981327076,0.8563945540589263,0.5093967117530944,-0.02260952031387782
DebtIssuance,0.1711744165934788,0.08756262545394201,180,1999,0.5115403761643542,-1.1715680148615006,-0.6072199678742833,-0.9285782167790214
DelBreadth,0.6832617355122175,0.2988572076359689,222,2002,0.43739784053899355,-0.04404534602314967,-0.23501440799849072,-0.5566308687289128
DelCOA,0.5411303988206518,0.1448100918089615,480,2005,0.2676066473525844,-0.3569925684039226,0.13719115187730185,0.8109598143299711
DelCOL,0.35489526802498,0.09909331005550318,480,2005,0.2792184595950383,-0.7670482834127861,0.13719115187730185,0.8109598143299711
DelDRC,0.7038415422958584,0.23157636225194153,72,2013,0.32901775234318137,0.0012676266117977503,1.129739311546082,-2.5536547229634565
DelEqu,0.46633714953061006,0.29238687194957325,468,2005,0.626986016970499,-0.5216736314473568,0.13719115187730185,0.7660577177440937
DelFINL,0.7176076772037651,0.19309085756823235,480,2005,0.26907579684853916,0.03157813928710733,0.13719115187730185,0.8109598143299711
DelLTI,0.1607695256599945,0.12498040010185157,480,2005,0.777388622556292,-1.1944776827264765,0.13719115187730185,0.8109598143299711
DelNetFin,0.545275066928875,0.024900394348770345,480,2005,0.045665749011807144,-0.3478667668576155,0.13719115187730185,0.8109598143299711
DivInit,0.5828336353206502,0.2638405079838462,300,1995,0.4526857957308733,-0.26516966480818494,-1.1034940477086734,-0.02260952031387782
DivOmit,0.4834989705038736,0.8525561425240498,300,1995,1.7633049800200546,-0.4838864387733459,-1.1034940477086734,-0.02260952031387782
DivSeason,0.3244241246637417,0.09087123848341869,1020,2013,0.280100126886694,-0.8341401710966352,1.129739311546082,2.1478028101776983
DivYieldST,0.5732933874083508,0.631186132133053,501,1979,1.1009827533270775,-0.28617554679364055,-3.088590367046234,0.8869027099593213
DolVol,0.7596280533851185,0.3879428182350795,360,1998,0.5107010154592053,0.12409932648938117,-0.7312884878328808,0.30074470363512074
DownRecomm,0.599286711819787,0.18526984729797294,49,2001,0.3091506012796191,-0.22894299791067474,-0.35908292795708824,-3.2361934416270097
EBM,0.30053763603815226,0.21421941198297456,468,2007,0.7127873061322014,-0.8867338526999388,0.3853281917944969,0.7660577177440937
EP,0.36672896719072634,0.203441478503393,180,1977,0.5547461387133575,-0.74099264100054,-3.336727406963429,-0.9285782167790214
EarnSupBig,0.3991017579340758,0.4757742981535091,360,2007,1.1921127599545631,-0.6697136733944722,0.3853281917944969,0.30074470363512074
EarningsConsistency,0.20664233388892791,0.3616568259272051,384,2009,1.7501584458564954,-1.0934741443639016,0.633465231711692,0.41520622855967787
EarningsForecastDisparity,0.6557531977076103,0.15290888706760972,288,2011,0.23318054353703557,-0.10461411782320519,0.881602271628887,-0.09500888213517249
EarningsStreak,1.0930536751606499,0.6818815623458893,276,2012,0.623831727426991,0.8582415968295907,1.0056707915874845,-0.17048997901671714
EarningsSurprise,1.1304228101146432,0.40025420258557626,96,1984,0.35407477538867427,0.9405216010766656,-2.468247767253246,-2.0434396122686063
EntMult,0.8599385999229121,0.28140018311189646,564,2011,0.32723287818121216,0.3449648136171233,0.881602271628887,1.096975015333157
EquityDuration,0.598883767672466,0.0075093086040521045,426,2004,0.012538841440362767,-0.22983020726657027,0.013122631918704325,0.5992937948327799
ExchSwitch,0.44659444574011015,0.7736962780864872,338,1995,1.7324359616794915,-0.5651434563103348,-1.1034940477086734,0.1889086981847764
ExclExp,0.2521456909794096,0.05089583847653441,144,2003,0.2018509151548047,-0.9932840698740742,-0.1109458880398932,-1.3243318025493145
FEPS,1.4786249733904058,0.6445276782960143,240,2006,0.43589665391498683,1.707199114710383,0.2612596718358994,-0.41836310608417104
FR,0.29796253736246475,-0.444335098843644,258,2006,-1.4912448483519267,-0.892403749266532,0.2612596718358994,-0.2900996587344634
FirmAgeMom,2.2276189440080327,0.8432898810591131,228,2006,0.37856110145204086,3.356346925044331,0.2612596718358994,-0.5093337169769787
ForecastDispersion,0.7150248689975769,0.3313305647822104,299,2002,0.46338327399257667,0.025891267743621594,-0.23501440799849072,-0.028531188856741125
