signalname,in_sample,post_sample,post_pub
EarningsTimeliness,-0.032050888176555235,-0.15341982638124288,0.13401767347445134
EarningsValueRelevance,-0.023698851199740086,0.20148531291391594,0.1612369594360622
EntMult_q,-1.654272996023152,-0.25181045378447564,-0.4194565661090347
FRbook,0.31743441625591834,-0.18534621073663285,-0.18799073709373126
FailureProbability,0.5813177956099033,0.9018700074375755,0.010633252064261661
FailureProbabilityJune,0.1653472271206903,-1.1336509187622206,-0.12960593316855018
ForecastDispersionLT,-0.0020971234229887124,-0.09325787973057172,0.14404340778951513
GPlag,0.20173344488955214,0.20341322928448757,0.5987427285844102
GPlag_q,0.8315347440693969,1.1101459645264227,0.963642395360978
GrGMToGrSales,0.3657256175387015,0.13243066570015688,0.17684550834247995
GrSaleToGrReceivables,0.022188740125035692,0.20775007185347347,0.046103630550441664
IdioVolCAPM,-0.28259167066892094,0.6454078885539327,-0.45827316859863537
IdioVolQF,-0.3381523092480625,0.7101349949815331,-0.3730100985081548
IntrinsicValue,0.4699311068715127,0.5060769823001847,0.0754087259148689
KZ,0.2169238541226747,0.3815736274110087,0.011269742903692802
KZ_q,-0.301624752478887,-1.6934016888610282,-0.058928653598623155
LaborforceEfficiency,-0.07543364005584773,0.06587967575183167,-0.16343351142830193
Leverage_q,0.36533216086164233,1.0346198676816287,0.46521610960772575
NetDebtPrice_q,-0.6429803963594666,-0.9401104253325359,-0.2399891633120791
NetPayoutYield_q,0.7048829390421443,0.1502023314228306,0.6556168042591463
OPLeverage_q,0.39730323241241977,2.3017752177753175,-0.011147962854712895
OScore_q,-1.052843396861055,-1.9187205551056903,-0.6571975300648731
OperProfLag,0.4026515033875732,0.552544368995978,0.33776902478585696
OperProfLag_q,0.9961467350365891,1.0853606968207599,0.580213619422746
OperProfRDLagAT,0.051889032331349366,0.8248683122275469,0.964187030782146
OperProfRDLagAT_q,0.8957248645113678,1.7917810791627435,1.4563022382545219
OrgCapNoAdj,0.648900902798082,0.9525670902227727,0.30762240233342436
PM,0.5423523953131736,0.16163607190827564,0.06707896017327213
PM_q,1.2317833936424698,0.6970497402441473,0.4545000757638218
PS_q,1.110294248208749,0.5666645506776187,0.6091628614311179
PayoutYield_q,0.46080413780566576,0.11863879529894256,0.38236281536833466
RD_q,0.8468790921115561,1.4915813328858145,0.20146047749386334
ResidualMomentum6m,0.40655095416530146,0.09062134195672437,0.1795486296782244
RetNOA,0.011400997965356872,0.08279375977485617,0.10388339375663443
RetNOA_q,1.216818786931089,0.5200582244909897,0.4475686720356942
ReturnSkewCAPM,-0.37875328249029694,0.03825010580152087,-0.18072640277974622
ReturnSkewQF,-0.23009589528850205,0.016413108259441162,-0.17213931375750754
SP_q,1.1761565369747122,1.8587257301709408,1.0727222103860024
Tax_q,0.02181143914260779,-0.381000590124666,0.10689484756024487
WW,0.4106009412212672,0.5342807414342484,-0.12919445877302538
WW_Q,0.504317799431809,0.7608303999004318,-0.16784884218039278
ZScore,-0.3325925775074551,-0.6466168664148627,0.12328433481001093
ZScore_q,-0.26663899465805874,-0.2576018405404984,-0.3180138922501175
betaCC,0.32344053138653844,0.8146415689948414,-0.006308127592646808
betaCR,-0.08615790333019425,-0.6197619343163341,-0.02429841764539308
betaNet,0.3508892604954522,0.6660755320241557,0.1355668141720966
betaRC,0.07749072386882164,-0.16569507589022137,-0.3421403121258634
betaRR,-0.04934456233200051,-0.43072443965400176,0.464234951489461
cashdebt,-0.06579365310868063,1.1046119593071682,0.10689404527952509
cfpq,0.9584501623659403,0.5102213370127942,0.9609830693383395
currat,0.28069369569848496,0.207074057004038,0.174034219120055
depr,0.2716587413986395,0.5846470733885917,0.35991021485185576
fgr5yrNoLag,-0.6551911588589007,0.07572876485082439,-0.18541284153208445
grcapx1y,-0.2740455245385926,0.1465997691439082,-0.04168920568281941
nanalyst,0.18602908299432536,-0.5918943898943224,0.12429513451371664
pchcurrat,0.21172362494379415,0.5327233262350478,-0.21384809714248698
pchdepr,0.16925324639633904,-0.10490694708243391,0.04520090749187744
pchgm_pchsale,0.4134050555227242,0.18331339983503886,0.12995706662307785
pchquick,0.3373184562659851,0.6217847244733737,-0.18186286954494263
pchsaleinv,0.5065978619402469,0.5567543649139023,0.11991734328353736
quick,0.30605956052938,0.1193891410098826,0.0807703623187618
rd_sale,0.0988538047351122,1.2642636421753186,-0.5988864714900471
rd_sale_q,0.9904260526439589,1.2365897747890786,-0.4927872854580313
roavol,-0.06208612760630855,0.5211236186620936,-0.41912630313018967
roic,0.08249890757789027,0.9025636676025189,0.4651003105465443
salecash,0.23517311140738117,0.2223375440771654,0.26679747869394566
saleinv,-0.1594360603549352,0.7732568464340112,0.19467041863388806
salerec,0.3021780384067296,0.4956948159631673,0.18939925343729572
secured,-0.006098110219142598,-0.29010144304433827,0.20043858788091673
securedind,-0.05912267360422859,-0.2642183113887296,0.13303313313174644
sgr,-0.5970499896900826,-0.9779748689170699,-0.5627665739477234
