location,name,in_sample,post_pub,post_sample,change
world,dolvol_var_126d,-0.0014062016709791637,-8.109851758167195e-05,0.0026515115880272177,0.0013251031533974918
world,dsale_dinv,0.003118735067798132,0.0011544751906212532,0.004153489633741096,-0.001964259877176879
world,dsale_drec,-0.00037540117674192175,0.0004359281130046244,-0.002760834252195522,0.0008113292897465462
world,earnings_variability,0.0013325083375161175,-7.970086276138211e-05,-0.00010960578784091103,-0.0014122092002774997
world,ebit_bev,0.0028934082546391905,0.0029718289414609423,0.0017235341589992151,7.842068682175187e-05
world,ebit_sale,0.0025613150910456114,0.00019267620105564167,-0.0022190365647263267,-0.00236863888998997
world,ebitda_mev,0.0052437213679761615,0.0005235829638731626,0.003513310944138667,-0.004720138404102999
world,emp_gr1,0.0018545044700917915,-0.0016875081434060775,0.0004538329825546396,-0.003542012613497869
world,eq_dur,0.00461027197214166,0.00012267401189242975,0.013164151760085657,-0.00448759796024923
world,eqnetis_at,0.0032111547520573013,0.003347709773429112,0.004266666097698251,0.00013655502137181058
world,eqnpo_12m,0.0051613666620706055,0.0017766662501938404,7.808465838359454e-05,-0.0033847004118767654
world,eqnpo_me,0.004790972926527112,0.0017826250927890784,-0.0002469205529797523,-0.0030083478337380337
world,eqpo_me,0.005527071944214991,0.00041854378382535196,-0.0006044467752902455,-0.005108528160389638
world,f_score,0.0034557901329446165,0.0021256693357182273,0.0056251876047252874,-0.0013301207972263892
world,fcf_me,0.0015870480934972876,0.0053045730018596365,0.004334547151631335,0.0037175249083623487
world,fnl_gr1a,0.002954068666345133,0.0018861905244681278,0.0033733952277969184,-0.0010678781418770051
world,gp_at,0.0012435464247265353,0.0029878937532395156,0.005464455063522008,0.0017443473285129803
world,inv_gr1,0.004108779614495034,0.0017597403394426483,0.0019495086453967959,-0.002349039275052385
world,inv_gr1a,0.0030734954819679194,0.0012642604611282503,0.003623120153719783,-0.0018092350208396691
world,iskew_ff3_21d,-0.0006620238535427526,-0.002018893755165466,0.0002974399831731166,-0.0013568699016227135
world,ival_me,0.007040694542994059,0.0031414438167325447,0.0029440385898037683,-0.003899250726261514
world,ivol_capm_252d,0.0015077042517395581,-7.046354064412526e-05,0.0019480801618919302,-0.0015781677923836833
world,ivol_ff3_21d,0.0011994579776330404,0.0019189277465953012,0.001189552212408654,0.0007194697689622608
world,kz_index,-0.0007195780182531053,-0.0005491996854130052,-0.002891599164661782,0.0001703783328401001
world,lnoa_gr1a,0.0038674497023584095,0.0004174189136965997,0.006304802754380865,-0.0034500307886618097
