date,index_url,index_retrieved_utc,index_sha256,file_count,median_size,invalid_below_half_median,selected_offset_seconds,selected_name,selected_url,selected_size,selected_last_modified,selected_etag,selected_file_time
2025-07-01,https://data.everef.net/market-orders/history/2025/2025-07-01/index.json,2026-08-04T00:48:45.853799+00:00,d5708797af72ff7b70d7813772e4fd302a0a04e5e5a28bd507910158ff6c4366,48,19476656.0,0,8,market-orders-2025-07-01_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-01/market-orders-2025-07-01_12-15-08.v3.csv.bz2,19468274,2025-07-01T12:20:38.586Z,f6accc2bd1984cd967f2990d2e1d92c5,2025-07-01T12:15:08Z
2025-07-02,https://data.everef.net/market-orders/history/2025/2025-07-02/index.json,2026-08-04T00:48:46.148986+00:00,b0fb41a080ac71709769512d7bb7fd46eae91b4a5d6b967d55d1d17796cfe0f1,48,19473726.5,0,10,market-orders-2025-07-02_12-15-10.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-02/market-orders-2025-07-02_12-15-10.v3.csv.bz2,19465741,2025-07-02T12:20:57.343Z,8915393882db5d3475c6a578620f3d4b,2025-07-02T12:15:10Z
2025-07-03,https://data.everef.net/market-orders/history/2025/2025-07-03/index.json,2026-08-04T00:48:46.137519+00:00,763b5c94b0eb42d4e46bf91dae642f0c3b6af6d79d03c2c38354cbca458a3e21,48,19434538.0,0,7,market-orders-2025-07-03_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-03/market-orders-2025-07-03_12-15-07.v3.csv.bz2,19417825,2025-07-03T12:20:25.725Z,edd6484cc3756ea937c3d1f4462c226c,2025-07-03T12:15:07Z
2025-07-04,https://data.everef.net/market-orders/history/2025/2025-07-04/index.json,2026-08-04T00:48:46.252385+00:00,6368fcf7bf4fe7e277fdf7d31dd3dbcf0cb8759059fc5786e46df81e1baf2253,48,19401681.0,0,8,market-orders-2025-07-04_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-04/market-orders-2025-07-04_12-15-08.v3.csv.bz2,19398257,2025-07-04T12:20:46.437Z,ce5c369292b4789e0b5332737ed3a332,2025-07-04T12:15:08Z
2025-07-05,https://data.everef.net/market-orders/history/2025/2025-07-05/index.json,2026-08-04T00:48:46.143262+00:00,4ef123b0d5c7d1ad48e386134db484214d108effcd5c76cb41066deb4bd97bc8,48,19389777.0,0,7,market-orders-2025-07-05_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-05/market-orders-2025-07-05_12-15-07.v3.csv.bz2,19393237,2025-07-05T12:21:00.313Z,f77f9ca21a63c10844c7a7b37d6218ba,2025-07-05T12:15:07Z
2025-07-06,https://data.everef.net/market-orders/history/2025/2025-07-06/index.json,2026-08-04T00:48:45.945971+00:00,cc8c822f0e5f077505058bd27f158e3aac629ebae7dccbe063422f4ab333a9cc,48,19409111.0,0,8,market-orders-2025-07-06_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-06/market-orders-2025-07-06_12-15-08.v3.csv.bz2,19410761,2025-07-06T12:21:05.552Z,b9e17a0f8541041546309f1d7a150c0a,2025-07-06T12:15:08Z
2025-07-07,https://data.everef.net/market-orders/history/2025/2025-07-07/index.json,2026-08-04T00:48:46.442177+00:00,50ce431285a44c1b664d680f9ae790e12adfb05728fb93f4f948c2772c688d8a,48,19437354.0,0,12,market-orders-2025-07-07_12-15-12.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-07/market-orders-2025-07-07_12-15-12.v3.csv.bz2,19432647,2025-07-07T12:20:57.032Z,ec4e3f88e240f228dc93be2b26cfdbdf,2025-07-07T12:15:12Z
2025-07-08,https://data.everef.net/market-orders/history/2025/2025-07-08/index.json,2026-08-04T00:48:46.978883+00:00,16bff848e658a4976eb4d5da09c508a41662876867e7058f5cadb0f800a5a44f,48,19462556.0,2,10,market-orders-2025-07-08_12-15-10.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-08/market-orders-2025-07-08_12-15-10.v3.csv.bz2,19473978,2025-07-08T12:20:54.013Z,049b5dd5c66bb3cb87e471f4d61cabd2,2025-07-08T12:15:10Z
2025-07-09,https://data.everef.net/market-orders/history/2025/2025-07-09/index.json,2026-08-04T00:48:46.763102+00:00,1f2ac800d7351773fc6fde02c56a0d3462ddbad064faceddbf4ba193a7385677,47,19475678,0,9,market-orders-2025-07-09_12-15-09.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-09/market-orders-2025-07-09_12-15-09.v3.csv.bz2,19492202,2025-07-09T12:20:33.169Z,bb126c6182d18a1307976f4225a5b85d,2025-07-09T12:15:09Z
2025-07-10,https://data.everef.net/market-orders/history/2025/2025-07-10/index.json,2026-08-04T00:48:46.646228+00:00,527cf3455fd5b0edcaa201416881dff2d878df18b0b7648971fb9390b9e4a82d,48,19484396.5,0,7,market-orders-2025-07-10_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-10/market-orders-2025-07-10_12-15-07.v3.csv.bz2,19481645,2025-07-10T12:20:32.349Z,451afb75b61dbb07f72acce9fc6a91c7,2025-07-10T12:15:07Z
