name,in_sample,post_pub,post_sample,significance,postpub_minus_insample
mispricing_perf,0.0035986378563623756,0.003954549184051899,-0.00021198945642037753,1.0,0.0003559113276895231
ncoa_gr1a,0.0030519288117038332,0.0019959090044898028,0.0035166855992104277,1.0,-0.0010560198072140305
ncol_gr1a,0.0011238666603585858,0.00012914375437387,0.00024525543239614785,0.0,-0.0009947229059847158
netdebt_me,-0.0008772092441708634,0.0015296104664907727,-0.0030044383445707265,1.0,0.002406819710661636
netis_at,0.0050670177087672255,0.0035967112073678215,0.003346633182462182,1.0,-0.001470306501399404
nfna_gr1a,-6.121653087527324e-05,0.0023889502989441988,0.0021552472627788064,1.0,0.002450166829819472
ni_ar1,-0.0006064014894363981,-0.00018167444300523514,-0.0007736303463524529,0.0,0.00042472704643116297
ni_be,-0.0038099078734775073,0.002508540764562964,0.0027042135021546113,1.0,0.006318448638040471
ni_ivol,-0.00254193098556348,-0.00017400841484193174,-0.0019236081080594028,0.0,0.0023679225707215483
niq_at,0.009866593555165816,0.0018860559189194325,0.004981337610365214,1.0,-0.007980537636246383
niq_be,0.007884911219552263,0.002750427586143832,0.002765242792681853,1.0,-0.005134483633408431
nncoa_gr1a,0.0017352509186323547,0.001957685117902537,0.002934177689125083,1.0,0.00022243419927018226
noa_at,0.0053036431247708874,0.0027298716701922576,-0.000826980270108921,1.0,-0.00257377145457863
noa_gr1a,0.007732578632320446,0.0033322457481764723,0.004337547025985888,1.0,-0.004400332884143974
o_score,0.0012948968250593874,0.0009452881390240213,0.010240305866995363,1.0,-0.00034960868603536605
oaccruals_at,0.001699342559764411,0.0024117812566652485,0.0023801976231676617,1.0,0.0007124386969008375
oaccruals_ni,0.0006674302192688086,0.0015674962225455803,-0.0005053755049063279,1.0,0.0009000660032767717
ocf_at,0.0017018405987187157,-0.00025433051004295,0.003785720188642806,1.0,-0.001956171108761666
ocf_at_chg1,0.0018444763443317192,0.002453845825196914,0.0019106738452531833,1.0,0.0006093694808651947
ocf_me,-0.002118432492637549,0.0037178307233768373,0.009807354504620126,1.0,0.0058362632160143865
ocfq_saleq_std,0.006208491349693048,0.00028998054536605154,0.0031704693591025684,1.0,-0.005918510804326997
