deleted_factor,post_pub_pct,post_pub_t,shift_pct
ebit_bev,-0.1641187634138371,-2.98862088880362,0.0002147685781852815
ebit_sale,-0.16278761822453275,-2.97370759723368,0.0015459137674896373
ebitda_mev,-0.16043552052031013,-2.934955555683591,0.0038980114717122594
emp_gr1,-0.1620545499460175,-2.968472496984538,0.0022789820460048793
eq_dur,-0.16088628292414658,-2.914211871946153,0.0034472490678758017
eqnetis_at,-0.16495798330181632,-3.0181468510265494,-0.0006244513097939386
eqnpo_12m,-0.1617540262800222,-2.9963596117178173,0.0025795057120001907
eqnpo_me,-0.16336060217618684,-3.0182348435865576,0.0009729298158355493
eqpo_me,-0.1629924676989597,-3.0107499454306743,0.0013410642930626882
f_score,-0.1632719446492881,-2.9559460317562163,0.0010615873427342881
fcf_me,-0.16820872082277805,-3.0364852118996004,-0.0038751888307556603
fnl_gr1a,-0.16369523773951977,-2.9434431571246606,0.0006382942525026136
gp_at,-0.16716265985838166,-3.001164769715751,-0.0028291278663592767
inv_gr1,-0.16396345207006763,-2.9838760756989897,0.0003700799219547579
inv_gr1a,-0.16309756337737494,-2.9547715483958017,0.001235968614647448
iskew_ff3_21d,-0.1643521823029172,-2.977639249010142,-1.8650310894818833e-05
ival_me,-0.1636429370148664,-2.94621346767646,0.0006905949771559838
ivol_capm_252d,-0.16316516156454425,-3.0336143325868132,0.0011683704274781381
ivol_ff3_21d,-0.16494046490889486,-3.0650416083665375,-0.0006069329168724713
kz_index,-0.16544890381137856,-2.9521178682725138,-0.0011153718193561701
lnoa_gr1a,-0.1621546688675321,-2.937192524993058,0.0021788631244902823
lti_gr1a,-0.16593291995225043,-2.9913040707401386,-0.0015993879602280436
market_equity,-0.16000910000247642,-2.8467504802528656,0.004324431989545963
mispricing_mgmt,-0.16331043307303048,-2.9984507445107895,0.0010230989189919104
mispricing_perf,-0.16727861777115577,-3.045149512655413,-0.002945085779133383
ncoa_gr1a,-0.16226584137410058,-2.947003584903525,0.002067690617921808
ncol_gr1a,-0.16251006032638166,-2.9261559594203503,0.0018234716656407302
netdebt_me,-0.16903422687134909,-2.9961379343676695,-0.0047006948793267
netis_at,-0.1651301518698802,-2.9974791705506143,-0.0007966198778578126
nfna_gr1a,-0.16286307755031196,-2.9227414336380373,0.0014704544417104282
ni_ar1,-0.16584082860436922,-2.9647493843591084,-0.0015072966123468312
ni_be,-0.16743577143316238,-3.020836684559496,-0.0031022394411399923
ni_inc8q,-0.16413781617302337,-2.9508441395334697,0.00019571581899902046
