seed,family,method,regret,recovery_days,annual_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,evaluated_candidates
6,development,random,0.2765889168211992,1.0,0.13571047188063162,0.0882252871136975,2.6084974701217387,33.33711275618753,0.6937680762558917,576
6,development,evolution,0.17461427328753418,1.0,0.23768511541429663,0.09071930711371738,2.502797951198438,9.635604616545338,0.12748078213853548,576
7,development,static,0.2932808077408475,1.0,-0.06164192467881298,0.05742731159362495,2.119452112853339,20.498837534955907,0.9590306454994184,0
7,development,random,0.298179176692275,1.0,-0.06654029363024044,0.06181005409741944,2.0998973118131232,12.446770609421066,0.7717911757047474,576
7,development,evolution,0.3060306423689101,1.0,-0.07439175930687555,0.08481960198109954,2.920356672804897,19.95665081310243,0.19083853839490453,576
8,development,static,0.33864048359247223,252.0,-0.18152221301092467,0.06351054263327058,2.590193745629733,33.82668526836915,0.8634578488992973,0
8,development,random,0.2660713555626969,252.0,-0.10895308498114933,0.03889523990742663,1.5956658996265778,19.589838810502837,0.8199184989780293,576
8,development,evolution,0.2340365939432167,5.0,-0.07691832336166915,0.04829497145415647,1.8924073241476385,42.4931134671396,0.23470330363187178,576
9,development,static,0.2612481725458194,69.0,0.03195523691436515,0.07750761542733997,2.474318234744747,21.12070948701278,0.6862110833300161,0
9,development,random,0.2615771234684866,66.0,0.0316262859916979,0.07297784466321298,2.440162948280677,27.77308980567677,0.8461977272416885,576
9,development,evolution,0.26027453532095424,66.0,0.03292887413923032,0.057681176529951805,1.849377872325656,14.194911909342581,0.22427730491179945,576
10000,confirmation,static,0.30728406155394367,1.0,-0.0841584690310086,0.09030972784242973,3.2276586098303977,26.932096513265016,0.8942572295022435,0
10000,confirmation,random,0.3046425521090662,1.0,-0.08151695958613114,0.08811020392474705,3.1455546572838524,26.01134459952122,0.8510298424335246,576
10000,confirmation,evolution,0.26080400230881795,1.0,-0.03767840978588288,0.04697189307419842,1.7222743790742112,12.556618612655248,0.14699982100382875,576
10001,confirmation,static,0.296782386288819,155.0,-0.04511152747333076,0.08646984901411756,3.064900179721336,19.529624023587886,0.7800281416328954,0
10001,confirmation,random,0.3504924984338762,165.0,-0.098821639618388,0.0902827619113992,3.196599116745314,21.23705716469885,0.7756992022174141,576
10001,confirmation,evolution,0.30801231268366835,160.0,-0.056341453868180125,0.10489257939506708,3.99044120868098,33.21816840739484,0.20316280682003965,576
10002,confirmation,static,0.2159678124622916,1.0,0.09597401845212991,0.11041038158905855,3.4457097373131886,19.82240254634992,0.9382743614080168,0
10002,confirmation,random,0.23340439806878083,1.0,0.0785374328456407,0.09849359739399148,3.144123523035898,21.499066740358572,0.859699065839113,576
10002,confirmation,evolution,0.23046402067932456,1.0,0.08147781023509695,0.0680665200885386,2.047998471012571,3.8064878994533347,0.14971606100957172,576
10003,confirmation,static,0.32911614620961605,2.0,0.02159514793097303,0.09344562767893216,2.9167659931174454,24.601093773366056,0.8200535101061635,0
10003,confirmation,random,0.30090459902602157,2.0,0.049806695114567534,0.0909590795236771,2.8253236913578332,19.190231153651727,0.8449201596188475,576
10003,confirmation,evolution,0.2933924005237014,2.0,0.057318893616887696,0.11631781249601478,3.7392902885135046,22.148463517737277,0.15249555762494335,576
10004,confirmation,static,0.3326494395987135,2.0,0.07607284569736758,0.09390575446888011,3.001311130694511,23.94708337951114,0.8268417309072598,0
10004,confirmation,random,0.29761964337904,2.0,0.11110264191704106,0.12616290777954614,4.041769612493836,20.30319056821545,0.7178426239233957,576
10004,confirmation,evolution,0.2792251482429673,2.0,0.12949713705311378,0.14872322206584937,4.766902970027951,23.225253558550673,0.16099843953637683,576
10005,confirmation,static,0.3050679831636953,6.0,0.06464610213674062,0.08558609054164756,3.2329732684875974,22.719403148801195,0.8563655192776745,0
10005,confirmation,random,0.3389522125408728,5.0,0.030761872759563116,0.08731327083614912,3.3173859416030167,22.160734709906368,0.8074046016570575,576
10005,confirmation,evolution,0.3492386030463602,7.0,0.020475482254075774,0.05017591254787312,1.8339966469725824,13.616184179652521,0.18370558971834652,576
10006,confirmation,static,0.4070904808274089,2.0,-0.1365767261654262,0.07358280245450684,2.699949426229099,29.261796485354825,0.8707554008334246,0
10006,confirmation,random,0.3986305152581745,1.0,-0.12811676059619181,0.07390927036534477,2.6466479051919083,31.143060079240392,0.8768744856765858,576
10006,confirmation,evolution,0.397348668509981,7.0,-0.12683491384799833,0.10541399788344892,3.9926234655605324,34.350918828827304,0.21832758393618446,576
10007,confirmation,static,0.33311541645098414,1.0,0.11576828458337796,0.08045559607782074,2.392370548932403,19.9865955993124,0.745511143208903,0
10007,confirmation,random,0.3466830389453731,1.0,0.10220066208898901,0.06576420003985822,1.9535695881151998,20.62754444337604,0.7819650602361568,576
10007,confirmation,evolution,0.33456693554142125,1.0,0.11431676549294081,0.06693590095766999,2.049076865786814,13.391642506894694,0.28317529145012854,576
10008,confirmation,static,0.3098426070592621,2.0,0.011276358695525804,0.08378545582107604,2.890916116109759,27.435043233876947,0.9148970272178213,0
10008,confirmation,random,0.3156429559035027,2.0,0.0054760098512851435,0.06684204439763701,2.434839196261748,18.983769846601923,0.730370906680538,576
10008,confirmation,evolution,0.3165784718966349,3.0,0.004540493858152986,0.09511442875820664,3.3034955274430033,25.53976091753851,0.2202743262972439,576
10009,confirmation,static,0.31268126368617827,1.0,0.054176191892280234,0.07742447944501818,2.915063551704524,22.859392292468424,0.869911156898474,0
