signalname,primary_exposure,primary_matched_predictor,primary_corr_n,future_exposure,future_matched_predictor,future_corr_n,pub_year,in_sample,post_pub,change
pchquick,-0.6542827367975186,Price,60.0,-0.5755220512586977,TotalAccruals,60.0,1989,0.3373184562659851,-0.18186286954494263,-0.5191813258109277
pchsaleinv,0.2860544180548854,AnalystRevision,60.0,0.6479678586437103,GrSaleToGrInv,60.0,1989,0.5065978619402469,0.11991734328353736,-0.38668051865670955
quick,-0.7949858640559052,Leverage,60.0,-0.8126082458931542,AOP,60.0,1989,0.30605956052938,0.0807703623187618,-0.2252891982106182
rd_sale,0.9402383764790179,BookLeverage,60.0,0.9600860309546361,Cash,60.0,2001,0.0988538047351122,-0.5988864714900471,-0.6977402762251593
rd_sale_q,0.9367687582163329,BookLeverage,60.0,0.9662091250876332,Cash,60.0,2001,0.9904260526439589,-0.4927872854580313,-1.48321333810199
roavol,0.9644675796851745,BookLeverage,60.0,-0.9764949727017053,NetEquityFinance,60.0,2004,-0.06208612760630855,-0.41912630313018967,-0.3570401755238811
roic,0.9661919434274336,cfp,60.0,0.9305012423997759,roaq,60.0,2007,0.08249890757789027,0.4651003105465443,0.3826014029686541
salecash,-0.48680127405791473,Price,60.0,0.5657941146425934,SP,60.0,1989,0.23517311140738117,0.26679747869394566,0.03162436728656448
saleinv,-0.7903875100634098,Beta,60.0,-0.7445085747611422,OPLeverage,60.0,1989,-0.1594360603549352,0.19467041863388806,0.3541064789888233
salerec,-0.5687891952073966,Price,60.0,0.6621480343030883,NetEquityFinance,60.0,1989,0.3021780384067296,0.18939925343729572,-0.11277878496943386
secured,-0.6267252306851318,NetDebtPrice,60.0,,,,2016,-0.006098110219142598,0.20043858788091673,0.20653669810005934
securedind,-0.7086681284596966,NetDebtPrice,60.0,,,,2016,-0.05912267360422859,0.13303313313174644,0.19215580673597504
sgr,-0.8835862594393428,MRreversal,60.0,-0.92396888192626,hire,60.0,1994,-0.5970499896900826,-0.5627665739477234,0.03428341574235916
sgr_q,-0.8476150736501074,Size,60.0,-0.8822543179466398,DolVol,60.0,1994,0.5935011789206428,0.08889712655390677,-0.504604052366736
tang_q,-0.8299937603567595,cfp,60.0,0.7138845390832452,BrandInvest,60.0,2009,0.8179625507150844,0.05029932313587925,-0.7676632275792051
