seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,evaluated_candidates,mean_distance,local_share,hybrid_share,global_share
60001,moderate_rotation,evolution,-0.03126753201278619,-0.010009063749906112,0.05852475164371814,2.2443758453977063,16.62544830162122,576,,1.0,0.0,0.0
60001,moderate_rotation,random,-0.018637307469853946,-0.0021184932199263826,0.06515561093220985,2.3642050840075552,15.130712653824439,576,,0.0,0.0,1.0
60001,moderate_rotation,hybrid,-0.04025125786639071,-0.01705126700663803,0.06596362570949946,2.5143222097444116,20.576854795919505,576,,0.0,1.0,0.0
60001,moderate_rotation,gate,-0.035776544071436274,-0.01413696644816297,0.0666562146747501,2.5460634265003903,15.833331807328307,576,1.3242597202400144,0.4166666666666667,0.5833333333333334,0.0
60002,moderate_rotation,evolution,0.007661550709610053,0.007070881521689724,0.0601583099851835,2.134365439466747,43.82581621679914,576,,1.0,0.0,0.0
60002,moderate_rotation,random,0.029811096563306085,0.015256438218485414,0.06792777335930829,2.250790640592088,28.483061946302758,576,,0.0,0.0,1.0
60002,moderate_rotation,hybrid,0.017159507140829852,0.015377078217380546,0.05578694490012356,1.9001546405947007,43.2545567933542,576,,0.0,1.0,0.0
60002,moderate_rotation,gate,0.03174830921623167,0.02826040219775172,0.06583876360372934,2.3338441738608493,51.319667159368684,576,1.0542190830834908,0.9166666666666666,0.08333333333333333,0.0
60003,moderate_rotation,evolution,-0.0787670425785598,-0.08294742443176537,0.043973042826185575,1.6909955010943176,21.66210925375428,576,,1.0,0.0,0.0
60003,moderate_rotation,random,-0.08154190097248071,-0.07035679349773148,0.06226251523304586,2.1015818228953878,30.300832892076947,576,,0.0,0.0,1.0
60003,moderate_rotation,hybrid,-0.08953807690450817,-0.07717104945302683,0.04551439718614939,1.767414051495028,22.31208303356205,576,,0.0,1.0,0.0
60003,moderate_rotation,gate,-0.13261648531231457,-0.09514558324965111,0.05727749828006983,2.2587091502065664,31.3850660938659,576,1.2906308844278465,0.3333333333333333,0.6666666666666666,0.0
60004,moderate_rotation,evolution,0.1493028684722877,0.09693806115563264,0.08403778186836416,2.2983695825362833,13.40827418361025,576,,1.0,0.0,0.0
60004,moderate_rotation,random,0.21173419724439763,0.1232958686176839,0.08438285556548976,2.486260767366521,16.608596617904713,576,,0.0,0.0,1.0
60004,moderate_rotation,hybrid,0.2043254810934755,0.11657027544530908,0.08906393031634258,2.4286699453086884,17.260644276695658,576,,0.0,1.0,0.0
60004,moderate_rotation,gate,0.18795406666010633,0.09033078683522053,0.09328834157191061,2.7428919359012873,18.216073705471185,576,1.446926300086517,0.16666666666666666,0.8333333333333334,0.0
60005,moderate_rotation,evolution,-0.051627195768693665,0.017808737807674502,0.06921855267976063,2.665075998067736,38.67368589066691,576,,1.0,0.0,0.0
60005,moderate_rotation,random,-0.041323652778603344,0.007020257247516535,0.06908182898856953,2.5486109671504096,39.9322154863282,576,,0.0,0.0,1.0
60005,moderate_rotation,hybrid,-0.05080942173491742,0.009323228484321957,0.06606656640328581,2.485725798598323,36.39675962813805,576,,0.0,1.0,0.0
60005,moderate_rotation,gate,-0.03512666636098838,0.024730789524709695,0.06933704550475464,2.6049881544254574,36.299407584246445,576,1.1899282186594569,0.5,0.5,0.0
70000,mean_reversion,evolution,-0.01832250180408935,0.0231793069143765,0.09626606539101969,3.3576033987226923,43.36645439988975,576,,1.0,0.0,0.0
70000,mean_reversion,random,0.034479202760744496,0.06644705952484586,0.08935135380496884,3.0165273177525633,31.15613861866548,576,,0.0,0.0,1.0
70000,mean_reversion,hybrid,0.049859234271625294,0.054737352398399025,0.08394148368575893,3.027168500167245,28.07585615506203,576,,0.0,1.0,0.0
70000,mean_reversion,gate,-0.022620360557268446,0.0439227923078538,0.10514133857654179,3.6727737449625186,35.92199096205454,576,1.835878283441635,0.16666666666666666,0.8333333333333334,0.0
