run,selected_train_mean,selected_test_mean,chosen_filter
77,0.13197534115390325,0.07089280749522134,29
78,0.11130808370301687,-0.018249031074623438,3
79,0.11843678878316076,-0.008503013037290504,5
80,0.100534775219875,-0.04254632323907001,34
81,0.07693960403415426,-0.0018882791050616832,43
82,0.10497613798231976,0.034038885992902224,23
83,0.17255638423870417,-0.04720524688629023,7
84,0.022328893035733495,0.06553264501416566,3
85,0.09258046056925406,-0.06664290763587176,3
86,0.1278263844443967,-0.033374345210068296,48
87,0.12684388086576343,0.08143878982191459,11
88,0.07525416517402776,0.07385136359711914,33
89,0.1753123388989427,0.04245581389405123,3
90,0.09783722555211975,0.06548802981517389,47
91,0.03729885203333761,-0.06326174762575984,3
92,0.04030489381904833,-0.03526727279402,33
93,0.10746194836146339,-0.042052208524449845,31
94,0.13445969318272058,0.010764812334039402,15
95,0.08112290043036213,0.009045031721562019,26
96,0.03370447310931426,0.0706466569978465,37
97,0.12685344381655703,-0.02756169334826713,21
98,0.13037689725108612,-0.06648103692318465,49
99,0.11158997606021369,-0.06512962595862123,42
100,0.07381050439269683,0.04022775429757874,7
101,0.06820588663646099,-0.026124903690453637,9
102,0.05877103901497195,-0.014199191776011054,36
103,0.10048393828387907,-0.09530597609657335,39
104,0.01884577387550113,-0.03235717688040659,31
105,0.09579919420002259,-0.09811866381094538,36
106,0.09858378303434749,-0.04212175063257625,31
107,0.11705224160915029,0.010118780013302006,33
108,0.12838289897625085,-0.09705979191385622,37
109,0.09807326859258717,0.006227198994239971,42
110,0.2058139521192957,0.08341573840672772,30
111,0.049507339121140866,-0.00837049778763389,9
112,0.10695904793784473,0.04425632383017488,25
113,0.028272916812430035,0.007362937775611986,5
114,0.0972963602293249,0.004156309022887942,36
115,0.039481467750869366,-0.03863816276068317,18
116,0.11854498384924447,-0.009047097482395024,33
117,0.06411889550996591,-0.055512399993319035,27
118,0.1040667391458778,-0.05454455330512816,20
119,0.0986941402793134,-0.056066448210021075,32
120,0.07545526175995917,-0.06294868577672542,8
121,0.09746069670393777,0.016909399000483116,45
122,0.0502652524030106,0.06524798265595948,8
123,0.08675500829966129,-0.057699053100176666,46
124,0.08636419286257378,-0.006764157741982464,39
125,0.07280071284880069,-0.022392634900275217,15
126,0.17389117789884143,0.01653862688348677,33
127,0.06479754837479956,-0.02397954705411313,10
128,0.07817378724656644,-0.013731925246852968,19
129,0.16893224873413681,-0.12701228371620793,0
130,0.07864956213870312,-0.07313477462142257,39
131,0.2053376398047119,-0.02094851438643807,12
132,0.18125871448169506,0.02342595396208263,34
133,0.06901040089374727,0.0743047648772434,26
134,0.1028792331388618,0.06116010127659321,3
135,0.04542228044655489,-0.1059011225601398,46
136,0.03779323206919393,-0.03938519212642787,7
137,0.11753282617738987,0.11383593616345876,28
138,0.15683440853271105,0.010190958510711334,29
