name,in_sample,post_pub,post_sample,postpub_minus_insample,postpub_minus_postsample
coskew_21d,1.9445851955272047e-05,0.0020215835554828307,0.0004676014105682418,0.2002137703527559,0.1553982144914589
cowc_gr1a,0.0040233579964693445,0.0015248132290627608,0.0010596562067260917,-0.24985447674065836,0.04651570223366691
dbnetis_at,0.0026783839193318232,-1.9634945031006187e-05,0.003284238550907624,-0.26980188643628294,-0.330387349593863
debt_gr3,0.002883652522637909,-0.0017866397120812766,0.005055714465551536,-0.46702922347191855,-0.6842354177632812
debt_me,9.468580455064653e-05,-0.0013934960499041278,0.0027087381175438497,-0.14881818544547745,-0.41022341674479773
dgp_dsale,0.0023005279111650663,0.0007439728902848723,0.0008430511463929076,-0.1556555020880194,-0.009907825610803533
dolvol_126d,0.0018034407252307738,0.0012915549408935379,-0.009960680529516413,-0.05118857843372359,1.125223547040995
dolvol_var_126d,-0.0014436013048438753,0.00018144670190797647,0.0025109962192974636,0.16250480067518516,-0.2329549517389487
dsale_dinv,0.004223446210839705,0.0007402611140177577,0.004090551305116359,-0.3483185096821947,-0.3350290191098601
dsale_drec,-0.000485250352196573,0.0019791421968146953,-0.0037016181196373806,0.24643925490112684,0.5680760316452076
dsale_dsga,-1.0741128791316907e-05,-0.0022523711655022018,0.00018397520527963917,-0.2241630036710885,-0.24363463707818409
earnings_variability,0.0020848372715444423,-0.0015083826494834028,0.0008167255456033166,-0.3593219921027845,-0.23251081950867195
ebit_bev,0.005450931435132322,0.003346039424698137,0.0035516260346102613,-0.21048920104341845,-0.020558660991212407
ebit_sale,0.0041940309923159565,-0.0004033529775574672,-0.0015199945561468029,-0.45973839698734237,0.11166415785893355
ebitda_mev,0.005589282585318869,-0.001848897395045313,0.00391898753582448,-0.7438179980364181,-0.5767884930869793
emp_gr1,0.0014999502353098377,-0.004146470369614009,-0.00047289912240382074,-0.5646420604923846,-0.36735712472101884
eq_dur,0.003168479842557396,-0.002839236677692144,0.015018990323142986,-0.600771652024954,-1.7858227000835127
eqnetis_at,0.0038920950985423383,0.0031223900026587817,0.004357646146947486,-0.07697050958835566,-0.12352561442887043
eqnpo_12m,0.004466088379606704,-0.0004332962641121101,-0.002085675546152928,-0.4899384643718814,0.16523792820408179
eqnpo_me,0.004978035850409388,0.0014834920827327153,-0.003096920189397011,-0.34945437676766733,0.45804122721297263
eqpo_me,0.004197273146798225,9.718160210716907e-05,-0.003400960988504448,-0.41000915446910563,0.34981425906116176
f_score,0.004526652197876674,0.0015114996666332674,0.006812621469526508,-0.3015152531243407,-0.5301121802893242
fcf_me,0.0025648475695039617,0.005164181150041099,0.005549236607320065,0.2599333580537137,-0.038505545727896606
fnl_gr1a,0.0034170163037309698,0.0009845561682176069,0.0044167151130522836,-0.24324601355133627,-0.3432158944834677
gp_at,0.00198591220178137,0.0051070538019277875,0.0028890835588645976,0.31211416001464176,0.22179702430631898
inv_gr1,0.003933958874545245,0.0018471701499347675,0.0003495385340378957,-0.20867887246104774,0.1497631615896872
inv_gr1a,0.004380396014674298,0.0011573598959202212,0.0035421654132525822,-0.32230361187540774,-0.23848055173323612
iskew_ff3_21d,-0.0007657952979493569,-0.002553285753796403,0.0008420030722235605,-0.1787490455847046,-0.3395288826019964
ival_me,0.004983227927002924,0.0021676349558041883,0.0021902340726388564,-0.28155929711987354,-0.0022599116834668125
ivol_capm_252d,0.0014487694902310826,-0.0018549156663686752,0.0019392958058709183,-0.3303685156599758,-0.37942114722395937
ivol_ff3_21d,0.0015009333010643198,0.0006508829899702193,0.0012848772212871225,-0.08500503110941006,-0.06339942313169032
kz_index,-0.0007292912776416899,-0.0010344370048891438,-0.0018858349822867733,-0.030514572724745392,0.08513979773976295
lnoa_gr1a,0.00368431824314865,-0.000638940896963706,0.009295712947803758,-0.4323259140112356,-0.9934653844767464
lti_gr1a,0.0002862903951379257,0.0006020299198454015,-0.00037530823644990824,0.031573952470747575,0.09773381562953097
market_equity,0.003693649176716285,-0.0007450832008571976,0.012685947125370326,-0.44387323775734827,-1.3431030326227524
mispricing_mgmt,0.004041230502888175,0.00024296294340598202,0.003656871579378447,-0.37982675594821935,-0.3413908635972465
mispricing_perf,0.002142742452706694,0.006980986860867732,0.001332517292853631,0.4838244408161038,0.5648469568014101
ncoa_gr1a,0.004082788600319964,-3.2129554559858975e-05,0.0025608108955854666,-0.4114918154879823,-0.25929404501453257
ncol_gr1a,0.0013134512278810905,-0.0024725448226537907,-0.0018115219970578583,-0.3785996050534881,-0.06610228255959323
netdebt_me,0.000835463234055539,0.005371178232700868,0.0008060537864808348,0.45357149986453293,0.45651244462200335
netis_at,0.004564365479240043,0.004040846754336997,0.003995703912685354,-0.05235187249030462,0.00451428416516431
nfna_gr1a,0.0038864193895197245,0.00044025164712681834,0.0050965237285347164,-0.3446167742392906,-0.46562720814078984
ni_ar1,0.0002957197235911108,0.0007004483967281949,0.0009861132673747944,0.04047286731370841,-0.028566487064659956
ni_be,-6.73422618298355e-05,0.0034848808525943997,0.005618384355906891,0.3552223114424235,-0.21335035033124916
ni_inc8q,0.0012516575907937455,-0.00037298551635355604,0.003398399332979766,-0.16246431071473014,-0.3771384849333322
ni_ivol,-0.0015322681957958685,0.0030969860311672644,-0.002192551188976547,0.4629254226963133,0.5289537220143812
ni_me,0.004560446769629218,0.0019251042589707118,0.0026931409780828713,-0.26353425106585066,-0.07680367191121595
niq_at,0.0016106127918985346,0.003151412441970986,0.006427731617645915,0.15407996500724513,-0.32763191756749294
niq_be,0.002232503253739613,0.003520863190811797,0.003311477926738028,0.1288359937072184,0.02093852640737688
niq_su,0.005053343550344385,0.0019733037824672703,0.0008946526948888362,-0.30800397678771146,0.1078651087578434
nncoa_gr1a,0.004247594540965993,0.00048808934207422337,0.004026122617298123,-0.37595051988917694,-0.35380332752239
noa_at,0.004063566992135646,0.003719863643489561,-0.00031470795880022065,-0.03437033486460846,0.40345716022897815
noa_gr1a,0.005498766266362494,0.0008973466222749254,-1.3096901107208367e-05,-0.4601419644087569,0.09104435233821338
o_score,0.0016736844250685972,0.00198736992791891,0.008336855680636504,0.03136855028503126,-0.6349485752717595
oaccruals_at,0.004489485807293995,0.003479133213214704,0.00695594542704094,-0.10103525940792914,-0.3476812213826236
oaccruals_ni,0.0020990243416550425,0.0010894816447382207,0.0025672955299790474,-0.10095426969168218,-0.14778138852408268
ocf_at,0.0037345137416497872,0.0070998865617878555,0.005591732985970008,0.33653728201380684,0.15081535758178474
ocf_at_chg1,0.0015404037784171375,0.007375809535144555,-0.00024043840728349192,0.5835405756727418,0.7616247942428047
ocf_me,0.005167427705541904,0.0007706922920468581,0.011058895565625351,-0.4396735413495046,-1.0288203273578493
ocfq_saleq_std,0.0013151024634906984,0.0008289986568449078,0.0042408440793321915,-0.04861038066457905,-0.34118454224872835
op_atl1,0.0011571335717201088,0.005198310278953511,0.00032276689216269983,0.40411767072334015,0.48755433867908105
ope_be,0.002788570143497439,0.005323513246099158,0.005463470877936513,0.2534943102601719,-0.013995763183735545
opex_at,0.001979571054359762,0.0012489731162100197,0.003293906615641758,-0.07305979381497425,-0.20449334994317386
pi_nix,-0.0004507581574310149,-7.048148105785397e-05,0.0001472954639336832,0.03802766763731609,-0.021777694499153715
