period,date,method,route,danger,localization,turnover,candidate_count
confirmation,2014-05-01,controller,tolerate,0.9376351405050868,0.5423089612745523,0.0,0
confirmation,2014-05-01,localized,localized,0.9376351405050868,0.5423089612745523,1.6684921124320358e-05,64
confirmation,2014-05-01,all_gene,all_gene,0.9376351405050868,0.5423089612745523,0.02641248008172696,64
confirmation,2014-05-01,random,random,0.9376351405050868,0.5423089612745523,0.0,64
confirmation,2014-05-01,min_variance,min_variance,0.9376351405050868,0.5423089612745523,0.18756457448901326,1
confirmation,2014-05-01,equal_weight,equal_weight,0.9376351405050868,0.5423089612745523,0.0,1
confirmation,2014-06-02,controller,tolerate,0.8331727129709587,0.33383004878735245,0.0,0
confirmation,2014-06-02,localized,localized,0.8331727129709587,0.33383004878735245,0.0,64
confirmation,2014-06-02,all_gene,all_gene,0.8331727129709587,0.33383004878735245,0.0853612907963831,64
confirmation,2014-06-02,random,random,0.8331727129709587,0.33383004878735245,0.0,64
confirmation,2014-06-02,min_variance,min_variance,0.8331727129709587,0.33383004878735245,0.09477325041173379,1
confirmation,2014-06-02,equal_weight,equal_weight,0.8331727129709587,0.33383004878735245,0.0,1
confirmation,2014-07-01,controller,tolerate,0.6297286658053775,0.3113730784486818,0.0,0
confirmation,2014-07-01,localized,localized,0.6297286658053775,0.3113730784486818,1.863901128441526e-05,64
confirmation,2014-07-01,all_gene,all_gene,0.6297286658053775,0.3113730784486818,0.20863556602163985,64
confirmation,2014-07-01,random,random,0.6297286658053775,0.3113730784486818,0.0,64
confirmation,2014-07-01,min_variance,min_variance,0.6297286658053775,0.3113730784486818,0.15727611244329973,1
confirmation,2014-07-01,equal_weight,equal_weight,0.6297286658053775,0.3113730784486818,0.0,1
confirmation,2014-08-01,controller,tolerate,0.7118187138021987,0.35794433016154975,0.0,0
confirmation,2014-08-01,localized,localized,0.7118187138021987,0.35794433016154975,0.0,64
confirmation,2014-08-01,all_gene,all_gene,0.7118187138021987,0.35794433016154975,0.17642064350633363,64
confirmation,2014-08-01,random,random,0.7118187138021987,0.35794433016154975,0.3858890873455477,64
confirmation,2014-08-01,min_variance,min_variance,0.7118187138021987,0.35794433016154975,0.08517547610071574,1
confirmation,2014-08-01,equal_weight,equal_weight,0.7118187138021987,0.35794433016154975,0.0,1
confirmation,2014-09-02,controller,tolerate,0.5983645595267539,0.3590000580153609,0.0,0
confirmation,2014-09-02,localized,localized,0.5983645595267539,0.3590000580153609,0.15848038001854092,64
confirmation,2014-09-02,all_gene,all_gene,0.5983645595267539,0.3590000580153609,0.23328038342100876,64
confirmation,2014-09-02,random,random,0.5983645595267539,0.3590000580153609,0.0,64
confirmation,2014-09-02,min_variance,min_variance,0.5983645595267539,0.3590000580153609,0.06502425421038366,1
confirmation,2014-09-02,equal_weight,equal_weight,0.5983645595267539,0.3590000580153609,0.0,1
confirmation,2014-10-01,controller,systemic,1.3638338812302275,0.3356417067991791,0.4933377453432201,64
confirmation,2014-10-01,localized,localized,1.3638338812302275,0.3356417067991791,0.019175353199211067,64
confirmation,2014-10-01,all_gene,all_gene,1.3638338812302275,0.3356417067991791,0.05857309751448372,64
confirmation,2014-10-01,random,random,1.3638338812302275,0.3356417067991791,0.27488373433076524,64
confirmation,2014-10-01,min_variance,min_variance,1.3638338812302275,0.3356417067991791,0.05836501722747733,1
confirmation,2014-10-01,equal_weight,equal_weight,1.3638338812302275,0.3356417067991791,0.0,1
confirmation,2014-11-03,controller,tolerate,0.8417306867451712,0.3541791773394685,0.0,0
confirmation,2014-11-03,localized,localized,0.8417306867451712,0.3541791773394685,0.019143912130601935,64
confirmation,2014-11-03,all_gene,all_gene,0.8417306867451712,0.3541791773394685,0.19735922325061683,64
confirmation,2014-11-03,random,random,0.8417306867451712,0.3541791773394685,0.5293283095287729,64
confirmation,2014-11-03,min_variance,min_variance,0.8417306867451712,0.3541791773394685,0.07098333035341733,1
confirmation,2014-11-03,equal_weight,equal_weight,0.8417306867451712,0.3541791773394685,0.0,1
confirmation,2014-12-01,controller,tolerate,1.0072816448793684,0.5134070858286853,0.0,0
confirmation,2014-12-01,localized,localized,1.0072816448793684,0.5134070858286853,4.420564629622169e-05,64
confirmation,2014-12-01,all_gene,all_gene,1.0072816448793684,0.5134070858286853,0.15522702185913342,64
confirmation,2014-12-01,random,random,1.0072816448793684,0.5134070858286853,0.0,64
confirmation,2014-12-01,min_variance,min_variance,1.0072816448793684,0.5134070858286853,0.03855953687295769,1
confirmation,2014-12-01,equal_weight,equal_weight,1.0072816448793684,0.5134070858286853,0.0,1
confirmation,2015-01-02,controller,tolerate,1.0790264885004999,0.3379687096228398,0.0,0
confirmation,2015-01-02,localized,localized,1.0790264885004999,0.3379687096228398,0.0,64
confirmation,2015-01-02,all_gene,all_gene,1.0790264885004999,0.3379687096228398,0.2119747793158457,64
confirmation,2015-01-02,random,random,1.0790264885004999,0.3379687096228398,0.0,64
confirmation,2015-01-02,min_variance,min_variance,1.0790264885004999,0.3379687096228398,0.047072377513195124,1
confirmation,2015-01-02,equal_weight,equal_weight,1.0790264885004999,0.3379687096228398,0.0,1
confirmation,2015-02-02,controller,tolerate,0.715256149636335,0.41605299048900224,0.0,0
confirmation,2015-02-02,localized,localized,0.715256149636335,0.41605299048900224,0.0,64
confirmation,2015-02-02,all_gene,all_gene,0.715256149636335,0.41605299048900224,0.19472944000162373,64
confirmation,2015-02-02,random,random,0.715256149636335,0.41605299048900224,0.5304551201457445,64
confirmation,2015-02-02,min_variance,min_variance,0.715256149636335,0.41605299048900224,0.0574307253581001,1
confirmation,2015-02-02,equal_weight,equal_weight,0.715256149636335,0.41605299048900224,0.0,1
confirmation,2015-03-02,controller,tolerate,0.6342254975374181,0.3466579822883884,0.0,0
confirmation,2015-03-02,localized,localized,0.6342254975374181,0.3466579822883884,0.0,64
confirmation,2015-03-02,all_gene,all_gene,0.6342254975374181,0.3466579822883884,0.16940362176516716,64
confirmation,2015-03-02,random,random,0.6342254975374181,0.3466579822883884,0.6125912999363381,64
confirmation,2015-03-02,min_variance,min_variance,0.6342254975374181,0.3466579822883884,0.10127790847762363,1
confirmation,2015-03-02,equal_weight,equal_weight,0.6342254975374181,0.3466579822883884,0.0,1
confirmation,2015-04-01,controller,tolerate,0.725317430240172,0.4391246195138189,0.0,0
confirmation,2015-04-01,localized,localized,0.725317430240172,0.4391246195138189,0.018077506378244453,64
confirmation,2015-04-01,all_gene,all_gene,0.725317430240172,0.4391246195138189,0.05519101437777442,64
confirmation,2015-04-01,random,random,0.725317430240172,0.4391246195138189,0.3276847256490909,64
confirmation,2015-04-01,min_variance,min_variance,0.725317430240172,0.4391246195138189,0.03816904260090128,1
confirmation,2015-04-01,equal_weight,equal_weight,0.725317430240172,0.4391246195138189,0.0,1
confirmation,2015-05-01,controller,tolerate,0.8369863433513228,0.41188625943742846,0.0,0
confirmation,2015-05-01,localized,localized,0.8369863433513228,0.41188625943742846,0.0,64
confirmation,2015-05-01,all_gene,all_gene,0.8369863433513228,0.41188625943742846,0.03373731059488311,64
confirmation,2015-05-01,random,random,0.8369863433513228,0.41188625943742846,0.21814314405292998,64
confirmation,2015-05-01,min_variance,min_variance,0.8369863433513228,0.41188625943742846,0.03991608829664087,1
confirmation,2015-05-01,equal_weight,equal_weight,0.8369863433513228,0.41188625943742846,0.0,1
confirmation,2015-06-01,controller,tolerate,0.6043334305221667,0.32621286362704843,0.0,0
confirmation,2015-06-01,localized,localized,0.6043334305221667,0.32621286362704843,0.0,64
confirmation,2015-06-01,all_gene,all_gene,0.6043334305221667,0.32621286362704843,0.018396100172509876,64
confirmation,2015-06-01,random,random,0.6043334305221667,0.32621286362704843,0.0,64
confirmation,2015-06-01,min_variance,min_variance,0.6043334305221667,0.32621286362704843,0.03194830940272083,1
confirmation,2015-06-01,equal_weight,equal_weight,0.6043334305221667,0.32621286362704843,0.0,1
confirmation,2015-07-01,controller,tolerate,0.7876651439970251,0.3122455349560641,0.0,0
confirmation,2015-07-01,localized,localized,0.7876651439970251,0.3122455349560641,0.0,64
confirmation,2015-07-01,all_gene,all_gene,0.7876651439970251,0.3122455349560641,0.009126169503153364,64
confirmation,2015-07-01,random,random,0.7876651439970251,0.3122455349560641,0.4705544791705646,64
confirmation,2015-07-01,min_variance,min_variance,0.7876651439970251,0.3122455349560641,0.020523195539730015,1
confirmation,2015-07-01,equal_weight,equal_weight,0.7876651439970251,0.3122455349560641,0.0,1
confirmation,2015-08-03,controller,tolerate,0.8245340074570934,0.3889250003415462,0.0,0
confirmation,2015-08-03,localized,localized,0.8245340074570934,0.3889250003415462,0.0,64
confirmation,2015-08-03,all_gene,all_gene,0.8245340074570934,0.3889250003415462,0.003676443867445047,64
confirmation,2015-08-03,random,random,0.8245340074570934,0.3889250003415462,0.0,64
confirmation,2015-08-03,min_variance,min_variance,0.8245340074570934,0.3889250003415462,0.02242912533140704,1
confirmation,2015-08-03,equal_weight,equal_weight,0.8245340074570934,0.3889250003415462,0.0,1
confirmation,2015-09-01,controller,tolerate,1.0758196446318868,0.25805246419074374,0.0,0
confirmation,2015-09-01,localized,localized,1.0758196446318868,0.25805246419074374,0.16305107332272425,64
confirmation,2015-09-01,all_gene,all_gene,1.0758196446318868,0.25805246419074374,0.001410887021536135,64
confirmation,2015-09-01,random,random,1.0758196446318868,0.25805246419074374,0.0,64
confirmation,2015-09-01,min_variance,min_variance,1.0758196446318868,0.25805246419074374,0.1560668234697506,1
confirmation,2015-09-01,equal_weight,equal_weight,1.0758196446318868,0.25805246419074374,0.0,1
confirmation,2015-10-01,controller,systemic,1.3184943035257353,0.28141745484083963,0.48939338747005356,64
confirmation,2015-10-01,localized,localized,1.3184943035257353,0.28141745484083963,0.15614125560224124,64
confirmation,2015-10-01,all_gene,all_gene,1.3184943035257353,0.28141745484083963,0.000799465917487666,64
confirmation,2015-10-01,random,random,1.3184943035257353,0.28141745484083963,0.5065972706903106,64
confirmation,2015-10-01,min_variance,min_variance,1.3184943035257353,0.28141745484083963,0.019251292346260974,1
confirmation,2015-10-01,equal_weight,equal_weight,1.3184943035257353,0.28141745484083963,0.0,1
confirmation,2015-11-02,controller,tolerate,0.9381053731194434,0.32569728050210744,0.0,0
confirmation,2015-11-02,localized,localized,0.9381053731194434,0.32569728050210744,0.965703445248077,64
confirmation,2015-11-02,all_gene,all_gene,0.9381053731194434,0.32569728050210744,0.00020520233278545453,64
confirmation,2015-11-02,random,random,0.9381053731194434,0.32569728050210744,0.2576595898111662,64
confirmation,2015-11-02,min_variance,min_variance,0.9381053731194434,0.32569728050210744,0.1403630567571681,1
confirmation,2015-11-02,equal_weight,equal_weight,0.9381053731194434,0.32569728050210744,0.0,1
confirmation,2015-12-01,controller,tolerate,0.732203979597509,0.31479315923576584,0.0,0
confirmation,2015-12-01,localized,localized,0.732203979597509,0.31479315923576584,0.00038070097536335994,64
confirmation,2015-12-01,all_gene,all_gene,0.732203979597509,0.31479315923576584,0.0001222990419008841,64
confirmation,2015-12-01,random,random,0.732203979597509,0.31479315923576584,0.0,64
confirmation,2015-12-01,min_variance,min_variance,0.732203979597509,0.31479315923576584,0.061620699833950285,1
confirmation,2015-12-01,equal_weight,equal_weight,0.732203979597509,0.31479315923576584,0.0,1
confirmation,2016-01-04,controller,tolerate,0.8131694632705286,0.3232157628108243,0.0,0
confirmation,2016-01-04,localized,localized,0.8131694632705286,0.3232157628108243,0.0,64
confirmation,2016-01-04,all_gene,all_gene,0.8131694632705286,0.3232157628108243,2.933019244448124e-05,64
confirmation,2016-01-04,random,random,0.8131694632705286,0.3232157628108243,0.4357619911765537,64
confirmation,2016-01-04,min_variance,min_variance,0.8131694632705286,0.3232157628108243,0.0722999056203998,1
confirmation,2016-01-04,equal_weight,equal_weight,0.8131694632705286,0.3232157628108243,0.0,1
confirmation,2016-02-01,controller,tolerate,0.9899501947802029,0.3188834339050482,0.0,0
confirmation,2016-02-01,localized,localized,0.9899501947802029,0.3188834339050482,0.0003919598376490457,64
confirmation,2016-02-01,all_gene,all_gene,0.9899501947802029,0.3188834339050482,1.2349791079358937e-05,64
confirmation,2016-02-01,random,random,0.9899501947802029,0.3188834339050482,0.0,64
confirmation,2016-02-01,min_variance,min_variance,0.9899501947802029,0.3188834339050482,0.09262779708434211,1
confirmation,2016-02-01,equal_weight,equal_weight,0.9899501947802029,0.3188834339050482,0.0,1
confirmation,2016-03-01,controller,tolerate,0.9294424116831421,0.29722947519721976,0.0,0
confirmation,2016-03-01,localized,localized,0.9294424116831421,0.29722947519721976,0.0,64
confirmation,2016-03-01,all_gene,all_gene,0.9294424116831421,0.29722947519721976,3.537044427622441e-06,64
confirmation,2016-03-01,random,random,0.9294424116831421,0.29722947519721976,0.0,64
confirmation,2016-03-01,min_variance,min_variance,0.9294424116831421,0.29722947519721976,0.08347017993471514,1
confirmation,2016-03-01,equal_weight,equal_weight,0.9294424116831421,0.29722947519721976,0.0,1
confirmation,2016-04-01,controller,tolerate,0.7756292345895242,0.386111815355131,0.0,0
confirmation,2016-04-01,localized,localized,0.7756292345895242,0.386111815355131,0.0007932929091249556,64
confirmation,2016-04-01,all_gene,all_gene,0.7756292345895242,0.386111815355131,1.0957749102499027e-06,64
confirmation,2016-04-01,random,random,0.7756292345895242,0.386111815355131,0.0,64
confirmation,2016-04-01,min_variance,min_variance,0.7756292345895242,0.386111815355131,0.031716272529243694,1
confirmation,2016-04-01,equal_weight,equal_weight,0.7756292345895242,0.386111815355131,0.0,1
confirmation,2016-05-02,controller,systemic,1.3893964465386834,0.30847445862726325,0.31080875187548085,64
confirmation,2016-05-02,localized,localized,1.3893964465386834,0.30847445862726325,1.0543583470026924e-05,64
confirmation,2016-05-02,all_gene,all_gene,1.3893964465386834,0.30847445862726325,6.031738313074474e-07,64
confirmation,2016-05-02,random,random,1.3893964465386834,0.30847445862726325,0.0,64
confirmation,2016-05-02,min_variance,min_variance,1.3893964465386834,0.30847445862726325,0.08333440371363549,1
confirmation,2016-05-02,equal_weight,equal_weight,1.3893964465386834,0.30847445862726325,0.0,1
confirmation,2016-06-01,controller,systemic,1.47897558319883,0.263137186876017,0.20171825667617127,64
confirmation,2016-06-01,localized,localized,1.47897558319883,0.263137186876017,0.0,64
confirmation,2016-06-01,all_gene,all_gene,1.47897558319883,0.263137186876017,1.1012939636283325e-07,64
confirmation,2016-06-01,random,random,1.47897558319883,0.263137186876017,0.0,64
confirmation,2016-06-01,min_variance,min_variance,1.47897558319883,0.263137186876017,0.03159908174089588,1
confirmation,2016-06-01,equal_weight,equal_weight,1.47897558319883,0.263137186876017,0.0,1
confirmation,2016-07-01,controller,tolerate,0.7817182675161145,0.4130414507281861,0.0,0
confirmation,2016-07-01,localized,localized,0.7817182675161145,0.4130414507281861,4.1062279710679566e-05,64
confirmation,2016-07-01,all_gene,all_gene,0.7817182675161145,0.4130414507281861,3.417909817048487e-08,64
confirmation,2016-07-01,random,random,0.7817182675161145,0.4130414507281861,0.0,64
confirmation,2016-07-01,min_variance,min_variance,0.7817182675161145,0.4130414507281861,0.1500008944116712,1
confirmation,2016-07-01,equal_weight,equal_weight,0.7817182675161145,0.4130414507281861,0.0,1
confirmation,2016-08-01,controller,tolerate,1.0074052382275653,0.3348187428899534,0.0,0
confirmation,2016-08-01,localized,localized,1.0074052382275653,0.3348187428899534,0.0,64
confirmation,2016-08-01,all_gene,all_gene,1.0074052382275653,0.3348187428899534,1.0355572763960869e-08,64
confirmation,2016-08-01,random,random,1.0074052382275653,0.3348187428899534,0.17199276318228163,64
confirmation,2016-08-01,min_variance,min_variance,1.0074052382275653,0.3348187428899534,0.011937939871956045,1
confirmation,2016-08-01,equal_weight,equal_weight,1.0074052382275653,0.3348187428899534,0.0,1
confirmation,2016-09-01,controller,tolerate,0.507790270546589,0.28866677903591825,0.0,0
confirmation,2016-09-01,localized,localized,0.507790270546589,0.28866677903591825,0.009061228441708296,64
confirmation,2016-09-01,all_gene,all_gene,0.507790270546589,0.28866677903591825,2.5365409069754287e-09,64
confirmation,2016-09-01,random,random,0.507790270546589,0.28866677903591825,0.0,64
confirmation,2016-09-01,min_variance,min_variance,0.507790270546589,0.28866677903591825,0.08444507094528705,1
confirmation,2016-09-01,equal_weight,equal_weight,0.507790270546589,0.28866677903591825,0.0,1
confirmation,2016-10-03,controller,tolerate,1.0096089407413646,0.32464302783101356,0.0,0
confirmation,2016-10-03,localized,localized,1.0096089407413646,0.32464302783101356,0.017963921243548727,64
confirmation,2016-10-03,all_gene,all_gene,1.0096089407413646,0.32464302783101356,1.260089974261528e-08,64
confirmation,2016-10-03,random,random,1.0096089407413646,0.32464302783101356,0.6589730617086154,64
confirmation,2016-10-03,min_variance,min_variance,1.0096089407413646,0.32464302783101356,0.07063350089684226,1
confirmation,2016-10-03,equal_weight,equal_weight,1.0096089407413646,0.32464302783101356,0.0,1
confirmation,2016-11-01,controller,tolerate,1.1354734142767788,0.31765279099847094,0.0,0
confirmation,2016-11-01,localized,localized,1.1354734142767788,0.31765279099847094,0.0,64
confirmation,2016-11-01,all_gene,all_gene,1.1354734142767788,0.31765279099847094,3.414804898307214e-08,64
confirmation,2016-11-01,random,random,1.1354734142767788,0.31765279099847094,0.6792856433455119,64
confirmation,2016-11-01,min_variance,min_variance,1.1354734142767788,0.31765279099847094,0.06420689111550965,1
confirmation,2016-11-01,equal_weight,equal_weight,1.1354734142767788,0.31765279099847094,0.0,1
confirmation,2016-12-01,controller,tolerate,0.7865061382508478,0.41437045994568916,0.0,0
confirmation,2016-12-01,localized,localized,0.7865061382508478,0.41437045994568916,0.00010789113870354161,64
confirmation,2016-12-01,all_gene,all_gene,0.7865061382508478,0.41437045994568916,1.2600822906589353e-07,64
confirmation,2016-12-01,random,random,0.7865061382508478,0.41437045994568916,0.3291567722479402,64
confirmation,2016-12-01,min_variance,min_variance,0.7865061382508478,0.41437045994568916,0.11967551226197604,1
confirmation,2016-12-01,equal_weight,equal_weight,0.7865061382508478,0.41437045994568916,0.0,1
confirmation,2017-01-03,controller,tolerate,0.8974808798432322,0.3511062963050169,0.0,0
confirmation,2017-01-03,localized,localized,0.8974808798432322,0.3511062963050169,0.0,64
confirmation,2017-01-03,all_gene,all_gene,0.8974808798432322,0.3511062963050169,2.469491459974957e-07,64
confirmation,2017-01-03,random,random,0.8974808798432322,0.3511062963050169,0.5789929429455721,64
confirmation,2017-01-03,min_variance,min_variance,0.8974808798432322,0.3511062963050169,0.16550712241485727,1
confirmation,2017-01-03,equal_weight,equal_weight,0.8974808798432322,0.3511062963050169,0.0,1
confirmation,2017-02-01,controller,tolerate,0.9839388766955288,0.4361107318724553,0.0,0
confirmation,2017-02-01,localized,localized,0.9839388766955288,0.4361107318724553,0.00029501762545359,64
confirmation,2017-02-01,all_gene,all_gene,0.9839388766955288,0.4361107318724553,1.2514787493937264e-06,64
confirmation,2017-02-01,random,random,0.9839388766955288,0.4361107318724553,0.0,64
confirmation,2017-02-01,min_variance,min_variance,0.9839388766955288,0.4361107318724553,0.0956878708922262,1
confirmation,2017-02-01,equal_weight,equal_weight,0.9839388766955288,0.4361107318724553,0.0,1
confirmation,2017-03-01,controller,tolerate,0.7928570712893552,0.33680988123112393,0.0,0
confirmation,2017-03-01,localized,localized,0.7928570712893552,0.33680988123112393,5.531944662764623e-06,64
confirmation,2017-03-01,all_gene,all_gene,0.7928570712893552,0.33680988123112393,3.1172600126542262e-06,64
confirmation,2017-03-01,random,random,0.7928570712893552,0.33680988123112393,0.651365490992837,64
confirmation,2017-03-01,min_variance,min_variance,0.7928570712893552,0.33680988123112393,0.07025266516006917,1
confirmation,2017-03-01,equal_weight,equal_weight,0.7928570712893552,0.33680988123112393,0.0,1
confirmation,2017-04-03,controller,tolerate,1.2192277406475431,0.34989465684273097,0.0,0
confirmation,2017-04-03,localized,localized,1.2192277406475431,0.34989465684273097,0.0,64
confirmation,2017-04-03,all_gene,all_gene,1.2192277406475431,0.34989465684273097,8.287097296913546e-06,64
confirmation,2017-04-03,random,random,1.2192277406475431,0.34989465684273097,0.40992005764917827,64
confirmation,2017-04-03,min_variance,min_variance,1.2192277406475431,0.34989465684273097,0.06240637399304963,1
confirmation,2017-04-03,equal_weight,equal_weight,1.2192277406475431,0.34989465684273097,0.0,1
confirmation,2017-05-01,controller,tolerate,1.1761933140997796,0.3090331110325897,0.0,0
confirmation,2017-05-01,localized,localized,1.1761933140997796,0.3090331110325897,5.222000605944646e-05,64
confirmation,2017-05-01,all_gene,all_gene,1.1761933140997796,0.3090331110325897,2.6811446341370363e-05,64
confirmation,2017-05-01,random,random,1.1761933140997796,0.3090331110325897,0.0,64
confirmation,2017-05-01,min_variance,min_variance,1.1761933140997796,0.3090331110325897,0.032108691697055686,1
confirmation,2017-05-01,equal_weight,equal_weight,1.1761933140997796,0.3090331110325897,0.0,1
confirmation,2017-06-01,controller,tolerate,1.1175742244714901,0.3422318314215726,0.0,0
confirmation,2017-06-01,localized,localized,1.1175742244714901,0.3422318314215726,0.0,64
confirmation,2017-06-01,all_gene,all_gene,1.1175742244714901,0.3422318314215726,0.00012303002075496908,64
confirmation,2017-06-01,random,random,1.1175742244714901,0.3422318314215726,0.0,64
confirmation,2017-06-01,min_variance,min_variance,1.1175742244714901,0.3422318314215726,0.12370277107063717,1
confirmation,2017-06-01,equal_weight,equal_weight,1.1175742244714901,0.3422318314215726,0.0,1
