seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,phenotype_diversity,evaluated_candidates,reserve_floor_margin
30010,correlation_flip,random,0.04340930090380282,-0.04283047100635793,0.08625876458653337,3.045764061839469,26.725197985869123,0.6575218704978689,0.17794109944229122,576,
30010,correlation_flip,hybrid_quality,-0.0358782153050906,-0.0923611284610261,0.08437784821791586,3.3649764361312027,30.59900634741631,0.22246870871228022,0.05031534806756968,576,
30010,correlation_flip,hybrid_diverse,0.018054690850136015,-0.0384604092174052,0.07153854429474706,2.5559781364790335,21.39201309811664,0.33658255600644527,0.08193010855990862,576,0.007928683990889897
30011,correlation_flip,evolution,-0.02931860236849941,-0.023809217996198853,0.03137356563498421,1.3229559668700352,4.367141239115329,0.14402362018125958,0.009202371540820787,576,
30011,correlation_flip,random,-0.011048390418928406,-0.010328395792532216,0.05511943648856603,1.9678372251153802,8.676091955757249,0.6518382582051248,0.18182383887486483,576,
30011,correlation_flip,hybrid_quality,-0.03245694526195929,-0.02802421840700579,0.04588880564861987,1.8106373693484017,5.828211607613109,0.5725164340250106,0.20077008230454035,576,
30011,correlation_flip,hybrid_diverse,-0.023461722039829998,-0.015107390670412934,0.04579368133538622,1.7527519426173406,5.455890474669906,0.7959406603698477,0.16210978509168547,576,0.003763423375331483
40000,mean_reversion,evolution,-0.21931360989116794,-0.15064285029541646,0.07281903119560243,2.9262215999573233,54.51780195326328,0.2802228370337763,0.0074412234082073744,576,
40000,mean_reversion,random,-0.13978866646752625,-0.11840559009024876,0.04569825295746474,2.1275693446538355,23.931428262316036,0.7308054172458177,0.06660425242346679,576,
40000,mean_reversion,hybrid_quality,-0.18436046031375866,-0.1613559029820144,0.05890089002588591,2.6532209846896264,36.67324507051826,0.0983151360199509,0.024220484581969237,576,
40000,mean_reversion,hybrid_diverse,-0.16437279772657315,-0.13047055463065274,0.0496324681374731,2.1314093796851883,32.87350491935102,0.4443835669743038,0.06736452978741635,576,6.05266082420175e-05
40001,mean_reversion,evolution,0.0932542348763332,0.01578096552851596,0.0969926047052563,3.4972802268688574,25.748380397777694,0.25943018475329077,0.06395967213856443,576,
40001,mean_reversion,random,0.04490340837904269,-0.029718844814385182,0.07559881526107295,2.596265397794946,31.735876555879173,0.7040061992797464,0.11643449552888527,576,
40001,mean_reversion,hybrid_quality,0.06457094277495144,-0.014024731440812819,0.10147024516569479,3.678539220273358,37.5121888754272,0.21714012644751837,0.01321541960117873,576,
40001,mean_reversion,hybrid_diverse,0.03988146999812023,-0.02286449319232819,0.07962062221252837,2.786066498000202,31.249265048821893,0.6660447373107661,0.13005224577272087,576,9.498825965597452e-05
40002,mean_reversion,evolution,-0.1884054874072956,-0.12423232198788665,0.07646436562462793,2.961788983578522,37.05390053600555,0.24343527529099754,0.04786614371792336,576,
40002,mean_reversion,random,-0.109271176982389,-0.060110328600292445,0.062121762675007186,2.2772867443485043,24.901935811981403,0.8297934460369851,0.22699656531833207,576,
40002,mean_reversion,hybrid_quality,-0.10157346899021955,-0.05894143932998056,0.059504831060949157,2.13860993534831,23.176618518434513,0.2120766785825619,0.01730020023952896,576,
40002,mean_reversion,hybrid_diverse,-0.09498071108046521,-0.05870489885101906,0.07040845105410301,2.645996975605658,27.793183037356737,0.42554952927398587,0.09395745939900767,576,0.00047815868103383286
40003,mean_reversion,evolution,-0.040283501296724825,-0.06571666668673096,0.05288797583575001,1.8699309789917646,28.640859998576367,0.2224759375630306,0.07212296403048613,576,
