signalname,in_sample,post_sample,post_pub
GP,0.3010693855006836,0.4379367231408764,1.0241899485981474
Governance,0.5179682959720546,-1.2940681420697007,-0.5385579978690395
GrAdExp,0.4054591094938897,0.34618052329812404,0.11041554345181082
GrLTNOA,0.36912810663643353,0.2206325387068995,-0.04699287964587776
GrSaleToGrInv,0.31736648952984486,0.41859911229412133,-0.026741874650273393
GrSaleToGrOverhead,-0.05904718317759868,0.09384546666126371,-0.1298611824986775
Herf,0.21272709003764206,0.08713434879747549,-0.3101278323149891
HerfAsset,0.1799741613153379,0.032411624703683944,-0.3791548796239124
HerfBE,0.22122261566544296,0.07925102574691208,-0.3384157710960924
High52,0.4701974514645906,-0.2862925918406421,0.20295159074032793
IO_ShortInterest,2.232290931750517,1.7318957407407456,5.790645223823447
IdioVol3F,0.9684962910088176,0.19581800629766943,0.26852365174506077
IdioVolAHT,0.8943252905668114,0.12612429035700579,0.21982871878744978
Illiquidity,0.3940535323330135,-0.03755276167790182,0.042990231625354446
IndIPO,0.6687946878564215,-0.091323925293523,0.43617999760952686
IndMom,0.25690338925409634,1.2947317029525103,0.31278572639083
IndRetBig,2.327518681198812,1.4246532970593078,0.5904994779773508
IntMom,1.2409349231874691,1.3150946235815295,0.6754164563153027
IntanBM,0.39246081921957127,0.275472929781154,0.09521593987151274
IntanCFP,0.39361159033131915,0.5567133156895948,0.2985384596959284
IntanEP,0.32403518118792796,0.2458939761857381,0.23172561820882642
IntanSP,0.5607533188618715,0.00869168166815864,0.18488012860567354
InvGrowth,0.8608265839187778,0.1339655389972162,0.44558078624198605
InvestPPEInv,0.7967789499525444,-0.4065068564740965,0.2172268001175877
Investment,0.25738683910460275,-0.008957516033877823,0.07432682249641978
LRreversal,0.784520058681048,-1.029088539836859,0.4772139298667306
Leverage,0.3551290839096765,1.1064773653446909,0.32316337832997927
MRreversal,0.39487685056369964,-0.20891651883858994,0.314672136842371
MS,1.104692012251532,-0.18908693449555913,0.5487053426323113
MaxRet,0.8861230012349923,0.3764997708983263,0.19944457987192324
MeanRankRevGrowth,0.5428074471325005,0.11100177476045932,0.024920420827150656
Mom12m,1.3406960070664518,0.1019764213937745,0.8531742264188287
Mom12mOffSeason,1.352855615923714,1.3783683535668976,0.8800918325834889
Mom6m,1.0166762570459411,-0.9158138163789166,1.039263360052881
Mom6mJunk,2.0904243449440734,2.3256062110006837,0.4533777237509893
MomOffSeason,1.2327521969055506,0.12317898479622912,0.41561520222531456
MomOffSeason06YrPlus,0.6049775397366829,0.6175836969628148,0.5309497336969622
