family,seed,policy,violation_area,breach_days,recovery_days,total_reduction,healthy_reduction,terminal_equity,maximum_drawdown,false_action_days
combined,30083,early_proportional,0.0,0,0,63.57794625000001,54.98162187500001,64.53622029445413,-0.36945670025312594,5
combined,30083,early_targeted,0.0,0,0,63.57794625,54.292575,64.36662353187211,-0.36673254724079973,6
combined,30084,breach_proportional,0.20216928121986888,3,1,63.57794625000001,56.15819625000001,80.55408297481864,-0.42828155560409154,0
combined,30084,breach_targeted,0.17286727796850576,3,1,63.57794625,40.177946250000005,80.71695851072948,-0.4157059872932315,0
combined,30084,early_proportional,0.08875464022943469,1,1,63.57794625000001,54.52918375000001,81.67538410096674,-0.41765482765397266,4
combined,30084,early_targeted,0.17086244478649404,2,1,63.57794625,40.177946250000005,81.27966943654118,-0.4186153909096709,2
combined,30085,breach_proportional,0.06215310954415587,2,1,44.5185,37.09875,112.71880379102119,-0.18833490707735923,0
combined,30085,breach_targeted,0.0680482549994631,2,1,34.23,23.4,113.92387778973342,-0.1833023317136555,0
combined,30085,early_proportional,0.0576923076923076,1,1,44.5185,37.09875,112.39586617133334,-0.18586330913628257,2
combined,30085,early_targeted,0.0576923076923076,1,1,54.292575,54.292575,110.4179702094791,-0.1790294966383983,3
combined,30086,breach_proportional,0.05801719639357583,2,1,44.5185,37.09875,122.26772907573118,-0.213144863713722,0
combined,30086,breach_targeted,0.05943652023398671,2,1,34.23,22.229999999999997,123.51103397271065,-0.21618165825512914,0
combined,30086,early_proportional,0.0,0,0,44.5185,39.09875,123.01756561439302,-0.2140001551937767,4
combined,30086,early_targeted,0.0,0,0,34.23,34.23,122.48714062739906,-0.21465087260595572,3
combined,30087,breach_proportional,0.07745047867851085,2,1,44.5185,37.09875,106.7374928132726,-0.13548573154073063,0
combined,30087,breach_targeted,0.06181166932220439,2,1,44.518499999999996,44.518499999999996,110.73961635500518,-0.13548573154073063,0
combined,30087,early_proportional,0.0576923076923076,1,1,44.5185,37.09875,106.49445094644956,-0.13548573154073063,2
combined,30087,early_targeted,0.0576923076923076,1,1,44.518499999999996,34.23,108.11181247211204,-0.13548573154073063,2
combined,30088,breach_proportional,0.06774409870548437,2,1,44.5185,37.09875,87.99351331624403,-0.31912687604332024,0
combined,30088,breach_targeted,0.07886790654506948,3,1,44.518499999999996,23.4,90.89188572447738,-0.3168726912537375,0
combined,30088,early_proportional,0.0576923076923076,1,1,54.292575000000014,45.24381250000001,87.2196214822306,-0.32184045997519306,3
combined,30088,early_targeted,0.0576923076923076,1,1,44.518499999999996,23.4,91.08329482483482,-0.31521874241818704,2
combined,30089,breach_proportional,0.040291243927979004,3,1,63.57794625000001,63.57794625000001,69.04140215897893,-0.36328580664368804,0
combined,30089,breach_targeted,0.01936490330547569,2,1,44.518499999999996,44.518499999999996,70.0240907117329,-0.3517830103608719,0
combined,30089,early_proportional,0.0,0,0,54.292575000000014,54.292575000000014,69.51780600808802,-0.36072715559158064,5
combined,30089,early_targeted,0.0,0,0,54.292575,54.292575,69.2404133237178,-0.35901762098773915,5
combined,30090,breach_proportional,0.0823716774138159,2,1,44.5185,37.09875,90.58854067914753,-0.2650838175031238,0
combined,30090,breach_targeted,0.07381284930181897,2,1,34.23,22.229999999999997,94.7045964693956,-0.25650133715252843,0
combined,30090,early_proportional,0.07214699175051698,1,1,44.5185,37.09875,90.46807813608838,-0.2662567961773461,2
combined,30090,early_targeted,0.07214699175051698,1,1,44.518499999999996,32.518499999999996,91.16845241323198,-0.27412326630781825,3
combined,30091,breach_proportional,0.13671468573133605,2,6,44.5185,37.09875,103.83584597789007,-0.31025949100275285,0
combined,30091,breach_targeted,0.11562262644157728,2,5,34.23,22.229999999999997,105.5327909245597,-0.3148227858902495,0
combined,30091,early_proportional,0.13671468573133605,2,6,44.5185,37.09875,103.83584597789007,-0.31025949100275285,0
combined,30091,early_targeted,0.16341747638133064,2,6,44.518499999999996,21.118499999999997,106.8751251502617,-0.31623300688328126,1
combined,30092,breach_proportional,0.07157335848120927,2,1,44.5185,37.09875,88.21644941906065,-0.21999775187615045,0
combined,30092,breach_targeted,0.0713804435135309,2,1,23.4,0.0,89.94331110996292,-0.20950248444409358,0
combined,30092,early_proportional,0.07112281301280032,1,1,44.5185,37.09875,88.27447566938665,-0.2194798287352131,2
combined,30092,early_targeted,0.07112281301280032,1,1,34.23,10.829999999999998,90.07537502006632,-0.20871670188015745,2
combined,30093,breach_proportional,0.07047600657565023,2,1,44.5185,37.09875,91.52888845619336,-0.2714656103770543,0
combined,30093,breach_targeted,0.06838181191117365,2,1,44.518499999999996,44.518499999999996,94.1945496180411,-0.23517516235125324,0
