signalname,pre_corr,post_corr,pre_n,post_n,change
IndRetBig,0.12070462004719441,0.16288357451387847,120,120,0.04217895446668406
IntMom,0.3200930192056294,0.25190080543479215,120,120,-0.06819221377083723
IntanBM,0.15688822729522509,-0.3899156034705757,120,120,-0.5468038307658007
IntanCFP,0.1600738424009076,-0.41363988460032874,120,120,-0.5737137270012364
IntanEP,0.6085949805418304,0.12490281649600807,120,120,-0.48369216404582227
IntanSP,-0.029718587736494564,-0.2572443358480024,120,120,-0.22752574811150783
InvGrowth,0.3511463139853774,0.3335271966209958,120,120,-0.017619117364381598
InvestPPEInv,0.3576712987816342,0.2095944598846106,120,120,-0.14807683889702358
Investment,0.13251459526806308,-0.12043578322413993,120,120,-0.25295037849220303
LRreversal,0.7867043557612745,0.8998042633006361,120,120,0.11309990753936161
Leverage,0.03769634613388096,0.18528506305726303,120,120,0.14758871692338207
MRreversal,0.2595979549802537,0.7418244526204061,120,120,0.4822264976401524
MS,0.12183954783058777,0.20871166634904043,120,120,0.08687211851845265
MaxRet,0.7456208378400079,0.5696676924387974,120,120,-0.17595314540121043
MeanRankRevGrowth,0.3105947130941226,0.2519944122875355,120,120,-0.058600300806587124
Mom12m,-0.7602295745545167,-0.6081308083252749,120,120,0.1520987662292418
Mom12mOffSeason,0.5015920467563453,0.6459724073408515,120,120,0.1443803605845062
Mom6m,-0.783406251455317,-0.5401943658282392,120,120,0.24321188562707774
Mom6mJunk,0.6551255622795814,0.5995993890147414,120,120,-0.055526173264839995
MomOffSeason,0.23373768056353997,-0.3260385165236857,120,120,-0.5597761970872257
MomOffSeason06YrPlus,0.4657748734794318,0.18669001309329653,120,120,-0.2790848603861353
MomOffSeason11YrPlus,-0.1456212284123015,0.018971127262904258,120,120,0.16459235567520575
MomOffSeason16YrPlus,-0.07331918907728245,-0.15020184375079979,120,120,-0.07688265467351733
MomRev,0.6410445231623918,0.5047725709740677,120,120,-0.1362719521883241
MomSeason,-0.14497240148791654,0.19926482392779932,120,120,0.3442372254157159
MomSeason06YrPlus,-0.09982558702813915,-0.16221957186355268,120,120,-0.06239398483541353
MomSeason11YrPlus,0.11404313029720191,0.1280230188297577,120,120,0.013979888532555787
MomSeason16YrPlus,0.17064324962848496,-0.27218205248656274,120,120,-0.44282530211504767
MomSeasonShort,-0.01878071755160502,0.16823991482474407,120,120,0.18702063237634908
MomVol,-0.019490934774344063,0.39032859254348895,120,120,0.409819527317833
NOA,0.10665110577492982,0.11648830958044812,120,120,0.009837203805518294
